"id","longitude","latitude","cftype","dist_to_trap","trap_trap_name"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",9.5,"T002"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",6.3,"T002"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",6.4,"T002"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",7,"T002"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",6.7,"T002"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",7.6,"T002"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",3.7,"T002"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",2.4,"T002"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",14,"T002"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",16.7,"T002"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",8.8,"T002"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",12.2,"T002"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",8.2,"T002"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",8.4,"T002"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",8.8,"T002"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",8.8,"T002"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",8.4,"T002"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",8.8,"T002"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",7,"T002"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",5.2,"T002"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",6.6,"T002"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",6.2,"T002"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",6.3,"T002"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",14.7,"T002"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",14.9,"T002"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",15,"T002"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",17.7,"T002"
