"date","yr","mo","day","qtr","wk","day.of.yr","day.of.wk","day.of.wk.name","eval.day","eval.wk","train","validate","test","partition"
2006-01-01,2006,1,1,1,1,1,"0","Sat",1,1,FALSE,FALSE,FALSE,"none"
2006-01-02,2006,1,2,1,1,2,"1","Sun",2,1,FALSE,FALSE,FALSE,"none"
2006-01-03,2006,1,3,1,1,3,"2","Mon",3,1,FALSE,FALSE,FALSE,"none"
2006-01-04,2006,1,4,1,1,4,"3","Tue",4,1,FALSE,FALSE,FALSE,"none"
2006-01-05,2006,1,5,1,1,5,"4","Wed",5,1,FALSE,FALSE,FALSE,"none"
2006-01-06,2006,1,6,1,1,6,"5","Thu",6,1,FALSE,FALSE,FALSE,"none"
2006-01-07,2006,1,7,1,1,7,"6","Fri",7,1,FALSE,FALSE,FALSE,"none"
2006-01-08,2006,1,8,1,2,8,"0","Sat",8,2,FALSE,FALSE,FALSE,"none"
2006-01-09,2006,1,9,1,2,9,"1","Sun",9,2,FALSE,FALSE,FALSE,"none"
2006-01-10,2006,1,10,1,2,10,"2","Mon",10,2,FALSE,FALSE,FALSE,"none"
2006-01-11,2006,1,11,1,2,11,"3","Tue",11,2,FALSE,FALSE,FALSE,"none"
2006-01-12,2006,1,12,1,2,12,"4","Wed",12,2,FALSE,FALSE,FALSE,"none"
2006-01-13,2006,1,13,1,2,13,"5","Thu",13,2,FALSE,FALSE,FALSE,"none"
2006-01-14,2006,1,14,1,2,14,"6","Fri",14,2,FALSE,FALSE,FALSE,"none"
2006-01-15,2006,1,15,1,3,15,"0","Sat",15,3,FALSE,FALSE,FALSE,"none"
2006-01-16,2006,1,16,1,3,16,"1","Sun",16,3,FALSE,FALSE,FALSE,"none"
2006-01-17,2006,1,17,1,3,17,"2","Mon",17,3,FALSE,FALSE,FALSE,"none"
2006-01-18,2006,1,18,1,3,18,"3","Tue",18,3,FALSE,FALSE,FALSE,"none"
2006-01-19,2006,1,19,1,3,19,"4","Wed",19,3,FALSE,FALSE,FALSE,"none"
2006-01-20,2006,1,20,1,3,20,"5","Thu",20,3,FALSE,FALSE,FALSE,"none"
2006-01-21,2006,1,21,1,3,21,"6","Fri",21,3,FALSE,FALSE,FALSE,"none"
2006-01-22,2006,1,22,1,4,22,"0","Sat",22,4,FALSE,FALSE,FALSE,"none"
2006-01-23,2006,1,23,1,4,23,"1","Sun",23,4,FALSE,FALSE,FALSE,"none"
2006-01-24,2006,1,24,1,4,24,"2","Mon",24,4,FALSE,FALSE,FALSE,"none"
2006-01-25,2006,1,25,1,4,25,"3","Tue",25,4,FALSE,FALSE,FALSE,"none"
2006-01-26,2006,1,26,1,4,26,"4","Wed",26,4,FALSE,FALSE,FALSE,"none"
2006-01-27,2006,1,27,1,4,27,"5","Thu",27,4,FALSE,FALSE,FALSE,"none"
2006-01-28,2006,1,28,1,4,28,"6","Fri",28,4,FALSE,FALSE,FALSE,"none"
2006-01-29,2006,1,29,1,5,29,"0","Sat",29,5,FALSE,FALSE,FALSE,"none"
2006-01-30,2006,1,30,1,5,30,"1","Sun",30,5,FALSE,FALSE,FALSE,"none"
2006-01-31,2006,1,31,1,5,31,"2","Mon",31,5,FALSE,FALSE,FALSE,"none"
2006-02-01,2006,2,1,1,5,32,"3","Tue",32,5,FALSE,FALSE,FALSE,"none"
2006-02-02,2006,2,2,1,5,33,"4","Wed",33,5,FALSE,FALSE,FALSE,"none"
2006-02-03,2006,2,3,1,5,34,"5","Thu",34,5,FALSE,FALSE,FALSE,"none"
2006-02-04,2006,2,4,1,5,35,"6","Fri",35,5,FALSE,FALSE,FALSE,"none"
2006-02-05,2006,2,5,1,6,36,"0","Sat",36,6,FALSE,FALSE,FALSE,"none"
2006-02-06,2006,2,6,1,6,37,"1","Sun",37,6,FALSE,FALSE,FALSE,"none"
2006-02-07,2006,2,7,1,6,38,"2","Mon",38,6,FALSE,FALSE,FALSE,"none"
2006-02-08,2006,2,8,1,6,39,"3","Tue",39,6,FALSE,FALSE,FALSE,"none"
2006-02-09,2006,2,9,1,6,40,"4","Wed",40,6,FALSE,FALSE,FALSE,"none"
2006-02-10,2006,2,10,1,6,41,"5","Thu",41,6,FALSE,FALSE,FALSE,"none"
2006-02-11,2006,2,11,1,6,42,"6","Fri",42,6,FALSE,FALSE,FALSE,"none"
2006-02-12,2006,2,12,1,7,43,"0","Sat",43,7,FALSE,FALSE,FALSE,"none"
2006-02-13,2006,2,13,1,7,44,"1","Sun",44,7,FALSE,FALSE,FALSE,"none"
2006-02-14,2006,2,14,1,7,45,"2","Mon",45,7,FALSE,FALSE,FALSE,"none"
2006-02-15,2006,2,15,1,7,46,"3","Tue",46,7,FALSE,FALSE,FALSE,"none"
2006-02-16,2006,2,16,1,7,47,"4","Wed",47,7,FALSE,FALSE,FALSE,"none"
2006-02-17,2006,2,17,1,7,48,"5","Thu",48,7,FALSE,FALSE,FALSE,"none"
2006-02-18,2006,2,18,1,7,49,"6","Fri",49,7,FALSE,FALSE,FALSE,"none"
2006-02-19,2006,2,19,1,8,50,"0","Sat",50,8,FALSE,FALSE,FALSE,"none"
2006-02-20,2006,2,20,1,8,51,"1","Sun",51,8,FALSE,FALSE,FALSE,"none"
2006-02-21,2006,2,21,1,8,52,"2","Mon",52,8,FALSE,FALSE,FALSE,"none"
2006-02-22,2006,2,22,1,8,53,"3","Tue",53,8,FALSE,FALSE,FALSE,"none"
2006-02-23,2006,2,23,1,8,54,"4","Wed",54,8,FALSE,FALSE,FALSE,"none"
2006-02-24,2006,2,24,1,8,55,"5","Thu",55,8,FALSE,FALSE,FALSE,"none"
2006-02-25,2006,2,25,1,8,56,"6","Fri",56,8,FALSE,FALSE,FALSE,"none"
2006-02-26,2006,2,26,1,9,57,"0","Sat",57,9,FALSE,FALSE,FALSE,"none"
2006-02-27,2006,2,27,1,9,58,"1","Sun",58,9,FALSE,FALSE,FALSE,"none"
2006-02-28,2006,2,28,1,9,59,"2","Mon",59,9,FALSE,FALSE,FALSE,"none"
2006-03-01,2006,3,1,1,9,60,"3","Tue",60,9,FALSE,FALSE,FALSE,"none"
2006-03-02,2006,3,2,1,9,61,"4","Wed",61,9,FALSE,FALSE,FALSE,"none"
2006-03-03,2006,3,3,1,9,62,"5","Thu",62,9,FALSE,FALSE,FALSE,"none"
2006-03-04,2006,3,4,1,9,63,"6","Fri",63,9,FALSE,FALSE,FALSE,"none"
2006-03-05,2006,3,5,1,10,64,"0","Sat",64,10,FALSE,FALSE,FALSE,"none"
2006-03-06,2006,3,6,1,10,65,"1","Sun",65,10,FALSE,FALSE,FALSE,"none"
2006-03-07,2006,3,7,1,10,66,"2","Mon",66,10,FALSE,FALSE,FALSE,"none"
2006-03-08,2006,3,8,1,10,67,"3","Tue",67,10,FALSE,FALSE,FALSE,"none"
2006-03-09,2006,3,9,1,10,68,"4","Wed",68,10,FALSE,FALSE,FALSE,"none"
2006-03-10,2006,3,10,1,10,69,"5","Thu",69,10,FALSE,FALSE,FALSE,"none"
2006-03-11,2006,3,11,1,10,70,"6","Fri",70,10,FALSE,FALSE,FALSE,"none"
2006-03-12,2006,3,12,1,11,71,"0","Sat",71,11,FALSE,FALSE,FALSE,"none"
2006-03-13,2006,3,13,1,11,72,"1","Sun",72,11,FALSE,FALSE,FALSE,"none"
2006-03-14,2006,3,14,1,11,73,"2","Mon",73,11,FALSE,FALSE,FALSE,"none"
2006-03-15,2006,3,15,1,11,74,"3","Tue",74,11,FALSE,FALSE,FALSE,"none"
2006-03-16,2006,3,16,1,11,75,"4","Wed",75,11,FALSE,FALSE,FALSE,"none"
2006-03-17,2006,3,17,1,11,76,"5","Thu",76,11,FALSE,FALSE,FALSE,"none"
2006-03-18,2006,3,18,1,11,77,"6","Fri",77,11,FALSE,FALSE,FALSE,"none"
2006-03-19,2006,3,19,1,12,78,"0","Sat",78,12,FALSE,FALSE,FALSE,"none"
2006-03-20,2006,3,20,1,12,79,"1","Sun",79,12,FALSE,FALSE,FALSE,"none"
2006-03-21,2006,3,21,1,12,80,"2","Mon",80,12,FALSE,FALSE,FALSE,"none"
2006-03-22,2006,3,22,1,12,81,"3","Tue",81,12,FALSE,FALSE,FALSE,"none"
2006-03-23,2006,3,23,1,12,82,"4","Wed",82,12,FALSE,FALSE,FALSE,"none"
2006-03-24,2006,3,24,1,12,83,"5","Thu",83,12,FALSE,FALSE,FALSE,"none"
2006-03-25,2006,3,25,1,12,84,"6","Fri",84,12,FALSE,FALSE,FALSE,"none"
2006-03-26,2006,3,26,1,13,85,"0","Sat",85,13,FALSE,FALSE,FALSE,"none"
2006-03-27,2006,3,27,1,13,86,"1","Sun",86,13,FALSE,FALSE,FALSE,"none"
2006-03-28,2006,3,28,1,13,87,"2","Mon",87,13,FALSE,FALSE,FALSE,"none"
2006-03-29,2006,3,29,1,13,88,"3","Tue",88,13,FALSE,FALSE,FALSE,"none"
