"t_date","wea_midway_hdds","wea_midway_cdds","wea_ohare_hdds","wea_ohare_cdds"
2006-01-01,27,0,29.5,0
2006-01-02,23.5,0,24,0
2006-01-03,24.5,0,24.5,0
2006-01-04,26,0,25.5,0
2006-01-05,31,0,31,0
2006-01-06,35.5,0,35.5,0
2006-01-07,30.5,0,31.5,0
2006-01-08,25.5,0,26.5,0
2006-01-09,28,0,29.5,0
2006-01-10,33,0,36,0
2006-01-11,25.5,0,25.5,0
2006-01-12,18.5,0,17.5,0
2006-01-13,25,0,24.5,0
2006-01-14,31.5,0,32.5,0
2006-01-15,29,0,29,0
2006-01-16,26,0,26.5,0
2006-01-17,29.5,0,30,0
2006-01-18,36.5,0,37.5,0
2006-01-19,21,0,24,0
2006-01-20,24.5,0,26,0
2006-01-21,37,0,39,0
2006-01-22,38,0,35,0
2006-01-23,38.5,0,38.5,0
2006-01-24,30.5,0,30.5,0
2006-01-25,34,0,35,0
2006-01-26,32,0,35,0
2006-01-27,23,0,22,0
2006-01-28,19.5,0,22.5,0
2006-01-29,20,0,20.5,0
2006-01-30,29,0,29.5,0
2006-01-31,30.5,0,31,0
2006-02-01,24.5,0,25.5,0
2006-02-02,29,0,30,0
2006-02-03,27.5,0,27,0
2006-02-04,37,0,36.5,0
2006-02-05,37,0,37.5,0
2006-02-06,37.5,0,37,0
2006-02-07,39,0,38.5,0
2006-02-08,38,0,39.5,0
2006-02-09,41,0,41,0
2006-02-10,33.5,0,34,0
2006-02-11,34,0,34.5,0
2006-02-12,38.5,0,38.5,0
2006-02-13,38.5,0,37.5,0
2006-02-14,25,0,25,0
2006-02-15,26,0,28,0
2006-02-16,32.5,0,35.5,0
2006-02-17,48.5,0,51.5,0
2006-02-18,57.5,0,64.5,0
2006-02-19,54,0,54.5,0
2006-02-20,41.5,0,42.5,0
2006-02-21,34.5,0,37,0
2006-02-22,27.5,0,30,0
2006-02-23,30,0,32,0
2006-02-24,30.5,0,34,0
2006-02-25,31.5,0,34,0
2006-02-26,39.5,0,40,0
2006-02-27,31.5,0,32.5,0
2006-02-28,33,0,33,0
2006-03-01,27.5,0,29,0
2006-03-02,32,0,34,0
2006-03-03,34.5,0,37,0
2006-03-04,32.5,0,34,0
2006-03-05,35,0,35,0
2006-03-06,32.5,0,33,0
2006-03-07,31,0,33,0
2006-03-08,17.5,0,19,0
2006-03-09,17,0,17,0
2006-03-10,19,0,19,0
2006-03-11,10,0,10,0
2006-03-12,15.5,0,17,0
2006-03-13,18,0,18.5,0
2006-03-14,31,0,30.5,0
2006-03-15,31,0,31,0
2006-03-16,29.5,0,30,0
2006-03-17,30.5,0,33,0
2006-03-18,32.5,0,32,0
2006-03-19,28.5,0,28.5,0
2006-03-20,31.5,0,34,0
2006-03-21,35,0,35.5,0
2006-03-22,28,0,28,0
2006-03-23,28,0,28.5,0
2006-03-24,29.5,0,29.5,0
2006-03-25,27.5,0,28.5,0
2006-03-26,27,0,27.5,0
2006-03-27,24,0,27.5,0
2006-03-28,23.5,0,24,0
2006-03-29,20,0,22.5,0
2006-03-30,10,0,12.5,0
2006-03-31,6.5,0,8.5,0
