"","trap.name","lat","lng","lat.lng.src","satellite.ind","trap_type","date","erraticus.NumMosquitos","pipiens.NumMosquitos","pipiens_restuans.NumMosquitos","restuans.NumMosquitos","salinarius.NumMosquitos","tarsalis.NumMosquitos","territans.NumMosquitos","unspecified.NumMosquitos","tot.NumMosquitos","erraticus.WnvPresent","pipiens.WnvPresent","pipiens_restuans.WnvPresent","restuans.WnvPresent","salinarius.WnvPresent","tarsalis.WnvPresent","territans.WnvPresent","unspecified.WnvPresent","any.WnvPresent","mo","wk","day.of.wk","day.of.wk.name","location","yr"
"1","T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,"GRAVID",2008-08-26,0,5,57,6,0,0,0,0,68,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,35,3,"Mon","(41.987053811133364,-87.72839753205471)",2008
"2","T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,"GRAVID",2008-09-02,0,1,20,5,0,0,0,0,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,36,3,"Mon","(41.987053811133364,-87.72839753205471)",2008
"3","T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,"GRAVID",2008-09-09,0,0,7,0,0,0,0,0,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,37,3,"Mon","(41.987053811133364,-87.72839753205471)",2008
"4","T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,"GRAVID",2008-09-15,0,0,10,0,0,0,0,0,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,37,2,"Sun","(41.987053811133364,-87.72839753205471)",2008
"5","T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,"GRAVID",2008-09-19,0,0,2,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,38,6,"Thu","(41.987053811133364,-87.72839753205471)",2008
"6","T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,"GRAVID",2008-09-29,0,0,3,0,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,39,2,"Sun","(41.987053811133364,-87.72839753205471)",2008
"7","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-06-26,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,3,"Mon","(41.95428245627087,-87.73384287546776)",2007
"8","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-07-11,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,28,4,"Tue","(41.95428245627087,-87.73384287546776)",2007
"9","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-07-18,0,1,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,29,4,"Tue","(41.95428245627087,-87.73384287546776)",2007
"10","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-08-01,0,1,3,0,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,31,4,"Tue","(41.95428245627087,-87.73384287546776)",2007
