Year ,Month ,Day ,Max,Min,Rain,Snow,X.7,,,X.6,,Evaporation,X.8,,,
2017,1,1,40,17,0,0,0,,,,,,,,,
2017,1,2,40,25,0.11,0,0,,,,,,,,,
2017,1,3,39,19,T,0,0,,,,,,,,,
2017,1,4,19,7,0,0,0,,,,,,,,,
2017,1,5,13,3,T,T,0,,,,,,,,,
2017,1,6,9,0,T,T,0,,,,,,,,,
2017,1,7,18,0,0,0,0,,,,,,,,,
2017,1,8,19,2,0,0,0,,,,,,,,,
2017,1,9,33,19,0.02,0.2,0,,,,,,,,,
2017,1,10,51,25,0.2,0,0,,,,,,,,,
2017,1,11,43,25,0.33,0,0,,,,,,,,,
2017,1,12,28,19,0.05,0.2,0,,,,,,,,,
2017,1,13,27,16,0,0,0,,,,,,,,,
2017,1,14,35,21,0,0,0,,,,,,,,,
2017,1,15,36,20,0,0,0,,,,,,,,,
2017,1,16,37,30,0.9,T,0,,,,,,,,,
2017,1,17,39,35,0.48,0,0,,,,,,,,,
2017,1,18,36,30,T,0,0,,,,,,,,,
2017,1,19,42,30,0.46,0,0,,,,,,,,,
2017,1,20,43,38,0.18,0,0,,,,,,,,,
2017,1,21,59,40,T,0,0,,,,,,,,,
2017,1,22,46,38,0.01,0,0,,,,,,,,,
2017,1,23,42,36,0,0,0,,,,,,,,,
2017,1,24,38,34,T,0,0,,,,,,,,,
2017,1,25,42,34,0.09,T,0,,,,,,,,,
2017,1,26,34,30,T,T,0,,,,,,,,,
2017,1,27,31,24,T,T,0,,,,,,,,,
2017,1,28,29,24,T,T,0,,,,,,,,,
2017,1,29,28,21,T,0.1,0,,,,,,,,,
2017,1,30,37,15,0.01,0.1,0,,,,,,,,,
2017,1,31,39,35,0.03,0,0,,,,,,,,,
2017,2,1,38,21,T,T,0,,,,,,,,,
2017,2,2,24,14,0,0,0,,,,,,,,,
2017,2,3,28,14,0,0,0,,,,,,,,,
2017,2,4,33,10,0,0,0,,,,,,,,,
2017,2,5,38,24,0,0,0,,,,,,,,,
2017,2,6,55,21,T,0,0,,,,,,,,,
2017,2,7,50,32,0.47,0,0,,,,,,,,,
2017,2,8,32,19,0,0,0,,,,,,,,,
2017,2,9,25,13,0,0,0,,,,,,,,,
2017,2,10,41,18,0,0,0,,,,,,,,,
2017,2,11,49,34,0,0,0,,,,,,,,,
2017,2,12,47,31,T,0,0,,,,,,,,,
2017,2,13,44,25,0,0,0,,,,,,,,,
2017,2,14,50,31,0,0,0,,,,,,,,,
2017,2,15,35,26,0,0,0,,,,,,,,,
2017,2,16,41,30,0,0,0,,,,,,,,,
2017,2,17,67,27,0,0,0,,,,,,,,,
2017,2,18,70,40,0,0,0,,,,,,,,,
2017,2,19,69,35,0,0,0,,,,,,,,,
2017,2,20,70,41,0,0,0,,,,,,,,,
2017,2,21,66,49,0.04,0,0,,,,,,,,,
2017,2,22,68,50,0,0,0,,,,,,,,,
2017,2,23,59,38,0.21,0,0,,,,,,,,,
2017,2,24,40,33,0.15,0,0,,,,,,,,,
2017,2,25,33,23,T,T,0,,,,,,,,,
2017,2,26,49,21,T,0,0,,,,,,,,,
2017,2,27,54,27,0,0,0,,,,,,,,,
2017,2,28,60,47,0.65,0,0,,,,,,,,,
2017,3,1,54,32,0.12,T,0,,,,,,,,,
2017,3,2,35,27,T,T,0,,,,,,,,,
2017,3,3,33,21,0,0,0,,,,,,,,,
2017,3,4,42,28,0.01,0.1,0,,,,,,,,,
2017,3,5,60,32,0,0,0,,,,,,,,,
2017,3,6,65,52,T,0,0,,,,,,,,,
2017,3,7,65,44,0.24,0,0,,,,,,,,,
2017,3,8,53,40,0,0,0,,,,,,,,,
2017,3,9,42,29,0,0,0,,,,,,,,,
2017,3,10,36,23,0,0,0,,,,,,,,,
2017,3,11,32,18,0,0,0,,,,,,,,,
2017,3,12,36,18,0.05,0.4,0,,,,,,,,,
2017,3,13,31,27,0.24,3.9,2,,,,,,,,,
2017,3,14,28,19,0.19,3.4,5.9,,,,,,,,,
2017,3,15,33,16,0,0,2,,,,,,,,,
2017,3,16,42,18,0,0,1.2,,,,,,,,,
2017,3,17,50,36,0.03,T,0,,,,,,,,,
2017,3,18,45,32,0,0,0,,,,,,,,,
2017,3,19,53,29,0,0,0,,,,,,,,,
2017,3,20,54,37,0.13,0,0,,,,,,,,,
2017,3,21,54,33,0,0,0,,,,,,,,,
2017,3,22,37,28,0,0,0,,,,,,,,,
2017,3,23,50,29,0.02,0,0,,,,,,,,,
2017,3,24,82,42,T,0,0,,,,,,,,,
2017,3,25,47,41,0.71,0,0,,,,,,,,,
2017,3,26,62,47,0.3,0,0,,,,,,,,,
2017,3,27,52,42,T,0,0,,,,,,,,,
2017,3,28,50,36,0,0,0,,,,,,,,,
2017,3,29,49,35,0.11,0,0,,,,,,,,,
2017,3,30,45,39,1.84,0,0,,,,,,,,,
2017,3,31,44,36,0.02,0,0,,,,,,,,,
2017,4,1,59,34,0,0,0,,,,,,,,,
2017,4,2,61,42,T,0,0,,,,,,,,,
2017,4,3,54,46,0.19,0,0,,,,,,,,,
2017,4,4,56,43,0.02,0,0,,,,,,,,,
2017,4,5,47,40,1.04,0,0,,,,,,,,,
2017,4,6,51,38,0.29,0,0,,,,,,,,,
2017,4,7,54,37,0,0,0,,,,,,,,,
2017,4,8,68,37,0,0,0,,,,,,,,,
2017,4,9,77,57,0,0,0,,,,,,,,,
2017,4,10,78,41,0.32,0,0,,,,,,,,,
2017,4,11,54,41,T,0,0,,,,,,,,,
2017,4,12,59,38,0,0,0,,,,,,,,,
2017,4,13,60,44,0.19,0,0,,,,,,,,,
2017,4,14,66,47,0.06,0,0,,,,,,,,,
2017,4,15,82,61,0.09,0,0,,,,,,,,,
2017,4,16,73,52,0.59,0,0,,,,,,,,,
2017,4,17,69,44,0,0,0,,,,,,,,,
2017,4,18,76,41,0,0,0,,,,,,,,,
2017,4,19,70,45,0.01,0,0,,,,,,,,,
2017,4,20,73,48,T,0,0,,,,,,,,,
2017,4,21,53,44,0,0,0,,,,,,,,,
2017,4,22,60,38,0,0,0,,,,,,,,,
2017,4,23,72,37,0,0,0,,,,,,,,,
2017,4,24,73,40,0,0,0,,,,,,,,,
2017,4,25,79,52,0,0,0,,,,,,,,,
2017,4,26,74,60,0.22,0,0,,,,,,,,,
2017,4,27,62,41,0.14,0,0,,,,,,,,,
2017,4,28,60,40,T,0,0,,,,,,,,,
2017,4,29,46,40,1.95,0,0,,,,,,,,,
2017,4,30,47,42,1.32,0,0,,,,,,,,,
2017,5,1,57,45,0.09,0,0,,,,,,,,,
2017,5,2,51,41,0.01,0,0,,,,,,,,,
2017,5,3,56,35,0,0,0,,,,,,,,,
2017,5,4,54,43,0,0,0,,,,,,,,,
2017,5,5,61,41,T,0,0,,,,,,,,,
2017,5,6,58,44,0.11,0,0,,,,,,,,,
2017,5,7,59,36,0,0,0,,,,,,,,,
2017,5,8,57,34,0.02,0,0,,,,,,,,,
2017,5,9,61,42,0.13,0,0,,,,,,,,,
2017,5,10,67,44,0.87,0,0,,,,,,,,,
2017,5,11,65,49,T,0,0,,,,,,,,,
2017,5,12,73,45,0,0,0,,,,,,,,,
2017,5,13,82,47,0,0,0,,,,,,,,,
2017,5,14,71,51,0,0,0,,,,,,,,,
2017,5,15,82,50,0.02,0,0,,,,,,,,,
2017,5,16,87,61,0,0,0,,,,,,,,,
2017,5,17,84,62,0.37,0,0,,,,,,,,,
2017,5,18,78,48,0,0,0,,,,,,,,,
2017,5,19,50,43,0.23,0,0,,,,,,,,,
2017,5,20,64,48,0.34,0,0,,,,,,,,,
2017,5,21,65,51,0.05,0,0,,,,,,,,,
2017,5,22,73,48,0.01,0,0,,,,,,,,,
