"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","BlkGrp.geoid","community","zone_class","zone_type","Tract.geoid","LT_HS_pct__BlkGrp2017","median_HHInc__BlkGrp2017","LT_Pov_pct__BlkGrp2017","LT_HS_pct__Tract2017","median_HHInc__Tract2017","LT_Pov_pct__Tract2017"
"T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,60646,17,31,130100,2,170311301002,"NORTH PARK","PD 184","5",17031130100,14.042553191,19129,21.571815718,12.078947368,40503,13.803259376
"T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,60641,17,31,160300,2,170311603002,"IRVING PARK","RS-3","4",17031160300,4.1294642857,40156,30.614035088,5.8671824629,51511,13.184747583
"T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,60634,17,31,170100,1,170311701001,"DUNNING","RS-2","4",17031170100,17.420954743,39643,16.029143898,17.420954743,39643,16.029143898
"T002A","41.96541422491698","-87.78211888530257","CDPH",TRUE,60630,17,31,150501,1,170311505011,"PORTAGE PARK","POS-1","12",17031150501,14.484272129,59659,3.9445628998,11.493860846,65893,6.4691358025
"T002B","41.95153532245593","-87.78983526326694","CDPH",TRUE,60634,17,31,170300,1,170311703001,"DUNNING","RS-2","4",17031170300,20,41042,8.9861751152,10.913500404,59554,11.892187215
"T002B.2","41.95526934295725","-87.79704765429102","CDPH",TRUE,60634,17,31,170100,1,170311701001,"DUNNING","RS-2","4",17031170100,17.420954743,39643,16.029143898,17.420954743,39643,16.029143898
"T003","41.96537485879688","-87.75841171521544","CDPH",FALSE,60630,17,31,150300,1,170311503001,"PORTAGE PARK","B3-2","1",17031150300,4.1405269762,74732,2.3969319271,9.105459719,74106,13.191802675
"T004","41.96261560968403","-87.7510352655956","CDPH",FALSE,60630,17,31,150200,2,170311502002,"PORTAGE PARK","RS-3","4",17031150200,8.1274900398,67727,6.5753424658,10.319112036,64545,14.281997919
"T005","41.941990512833925","-87.7772314719966","CDPH",FALSE,60634,17,31,171100,2,170311711002,"DUNNING","RS-2","4",17031171100,10.682819383,62216,19.920634921,12.14988645,65952,10.321400575
"T006","41.99023372978676","-87.79721987927368","CDPH",FALSE,60631,17,31,100300,3,170311003003,"NORWOOD PARK","RS-1","4",17031100300,3.984063745,81555,0,7.5776397516,73558,5.5657696808
"T007","41.99549241934282","-87.76960894532459","CDPH",FALSE,60646,17,31,120100,3,170311201003,"FOREST GLEN","POS-1","12",17031120100,4.834605598,84073,3.6121673004,2.1681247623,124338,2.7443805541
"T008","42.007997503125345","-87.77823496507851","CDPH",FALSE,60646,17,31,120100,1,170311201001,"FOREST GLEN","RS-3","4",17031120100,1.4176663032,109306,5.250965251,2.1681247623,124338,2.7443805541
"T009","41.988586396324166","-87.85447335120561","CDPH",FALSE,60631,17,31,760801,1,170317608011,"OHARE","RS-1","4",17031760801,6.4036885246,62008,12.974296206,4.846779237,55500,10.970149254
"T009B","41.987851062637546","-87.84726704946752","CDPH",TRUE,60631,17,31,760801,1,170317608011,"OHARE","POS-1","12",17031760801,6.4036885246,62008,12.974296206,4.846779237,55500,10.970149254
"T011","41.94596109447193","-87.83294247349616","CDPH",FALSE,60634,17,31,170500,4,170311705004,"DUNNING","RS-2","4",17031170500,15.044247788,75843,2.1588280648,6.9525501142,78650,6.0138081395
"T012","41.99356436155678","-87.74542038704298","CDPH",FALSE,60646,17,31,120300,6,170311203006,"FOREST GLEN","RS-1","4",17031120300,1.7372421281,155106,2.6079869601,2.8823900694,121793,3.855963991
"T013","41.92388736426867","-87.77890991205359","CDPH",FALSE,60639,17,31,190601,2,170311906012,"BELMONT CRAGIN","POS-1","12",17031190601,38.998682477,53977,20.925110132,27.875958653,50781,19.475948377
"T014","41.97010241075843","-87.78913064533572","CDPH",FALSE,60656,17,31,100700,1,170311007001,"NORWOOD PARK","RS-2","4",17031100700,11.515151515,110781,3.3444816054,6.4210241127,77324,4.2485732403
"T015","41.97418287382103","-87.82524093078898","CDPH",FALSE,60656,17,31,100500,5,170311005005,"NORWOOD PARK","RS-2","4",17031100500,3.5010940919,101101,7.5801749271,8.837928369,82865,4.9787940254
"T016","42.01302927467806","-87.8113497315539","CDPH",FALSE,60631,17,31,90100,2,170310901002,"EDISON PARK","RS-2","4",17031090100,1.6447368421,127250,0,8.4094368341,94375,2.9510961214
"T017","41.96201463828783","-87.64684772570871","CDPH",FALSE,60640,17,31,31400,6,170310314006,"UPTOWN","POS-1","12",17031031400,4.9543676662,83625,7.9365079365,4.1807909605,68899,9.5086827615
"T018","42.01052928915475","-87.6608450688439","CDPH",FALSE,60626,17,31,10400,2,170310104002,"ROGERS PARK","POS-1","12",17031010400,0,46333,21.193415638,1.9721577726,39634,18.75957121
"T019","41.95166715027478","-87.69802789049841","CDPH",FALSE,60618,17,31,160700,1,170311607001,"IRVING PARK","POS-1","12",17031160700,15.959252971,NA,4.5380875203,17.5414089,65281,16.403785489
"T025","41.97904992373381","-87.7517739651728","CDPH",FALSE,60630,17,31,120400,1,170311204001,"FOREST GLEN","RS-2","4",17031120400,2.5875190259,124250,2.5613660619,12.173913043,82167,7.4993256002
"T027","41.986319851449004","-87.72837845617912","CDPH",FALSE,60646,17,31,130100,2,170311301002,"NORTH PARK","PD 184","5",17031130100,14.042553191,19129,21.571815718,12.078947368,40503,13.803259376
