"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_tl_201","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
95,"T097",41.6447200663,-87.601851528,0,"FALSE",,0,,0,,,,,,,,7302,"17","031","540101","1","170315401011","Block Group 1","G5030","S",1558312,387686,"+41.6467803","-087.6043579"
136,"T200B",41.6483106893,-87.5596320471,0,"TRUE",,0,,0,,,,,,,,652,"17","031","550200","2","170315502002","Block Group 2","G5030","S",4463815,283388,"+41.6550974","-087.5648270"
138,"T206",41.6548384476,-87.5421585536,0,"FALSE",,0,,0,,,,,,,,1707,"17","031","550100","5","170315501005","Block Group 5","G5030","S",1981548,0,"+41.6736841","-087.5405823"
134,"T200",41.656676999,-87.5594407188,0,"FALSE",,0,,0,,,,,,,,652,"17","031","550200","2","170315502002","Block Group 2","G5030","S",4463815,283388,"+41.6550974","-087.5648270"
137,"T203",41.6567891391,-87.5594401791,0,"FALSE",,0,,0,,,,,,,,652,"17","031","550200","2","170315502002","Block Group 2","G5030","S",4463815,283388,"+41.6550974","-087.5648270"
139,"T209",41.6570688756,-87.5460488651,0,"FALSE",,0,,0,,,,,,,,4768,"17","031","550100","6","170315501006","Block Group 6","G5030","S",371373,0,"+41.6571373","-087.5466781"
148,"T221",41.6592360185,-87.6120151281,0,"FALSE",,0,,0,,,,,,,,6595,"17","031","540102","1","170315401021","Block Group 1","G5030","S",4437455,0,"+41.6693047","-087.6066548"
135,"T200A",41.6601053592,-87.546987613,0,"TRUE",,0,,0,,,,,,,,4768,"17","031","550100","6","170315501006","Block Group 6","G5030","S",371373,0,"+41.6571373","-087.5466781"
104,"T115",41.6623867276,-87.5901797275,0,"FALSE",,0,,0,,,,,,,,541,"17","031","838800","2","170318388002","Block Group 2","G5030","S",17741528,3802983,"+41.6834042","-087.5740611"
109,"T135B",41.6631884935,-87.6326783598,0,"TRUE",,0,,0,,,,,,,,8877,"17","031","530503","3","170315305033","Block Group 3","G5030","S",525633,8980,"+41.6619118","-087.6350756"
108,"T135",41.6635341,-87.6319993,0,"FALSE",,0,,0,,,,,,,,8877,"17","031","530503","3","170315305033","Block Group 3","G5030","S",525633,8980,"+41.6619118","-087.6350756"
100,"T104",41.6723761758,-87.5754773766,0,"FALSE",,0,,0,,,,,,,,541,"17","031","838800","2","170318388002","Block Group 2","G5030","S",17741528,3802983,"+41.6834042","-087.5740611"
87,"T090C",41.6757126357,-87.6539394763,0,"TRUE",,0,,0,,,,,,,,3125,"17","031","530400","2","170315304002","Block Group 2","G5030","S",589336,0,"+41.6740264","-087.6568842"
84,"T090",41.6768873162,-87.6612219262,0,"FALSE",,0,,0,,,,,,,,3125,"17","031","530400","2","170315304002","Block Group 2","G5030","S",589336,0,"+41.6740264","-087.6568842"
88,"T091",41.6770323532,-87.6444650752,0,"FALSE",,0,,0,,,,,,,,3124,"17","031","530400","1","170315304001","Block Group 1","G5030","S",722727,0,"+41.6740503","-087.6471580"
