"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_geo_ex","area","area_num_1","area_numbe","comarea","comarea_id","community","perimeter","shape_area","shape_len"
95,"T097",41.6447200663,-87.601851528,0,"FALSE",,0,,0,,,,,,,,52,0,"54","54",0,0,"RIVERDALE",0,98389497.4143,46455.4408571
136,"T200B",41.6483106893,-87.5596320471,0,"TRUE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
138,"T206",41.6548384476,-87.5421585536,0,"FALSE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
134,"T200",41.656676999,-87.5594407188,0,"FALSE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
137,"T203",41.6567891391,-87.5594401791,0,"FALSE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
139,"T209",41.6570688756,-87.5460488651,0,"FALSE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
148,"T221",41.6592360185,-87.6120151281,0,"FALSE",,0,,0,,,,,,,,52,0,"54","54",0,0,"RIVERDALE",0,98389497.4143,46455.4408571
135,"T200A",41.6601053592,-87.546987613,0,"TRUE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
104,"T115",41.6623867276,-87.5901797275,0,"FALSE",,0,,0,,,,,,,,49,0,"51","51",0,0,"SOUTH DEERING",0,303797059.66,80389.8718002
109,"T135B",41.6631884935,-87.6326783598,0,"TRUE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
108,"T135",41.6635341,-87.6319993,0,"FALSE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
100,"T104",41.6723761758,-87.5754773766,0,"FALSE",,0,,0,,,,,,,,49,0,"51","51",0,0,"SOUTH DEERING",0,303797059.66,80389.8718002
87,"T090C",41.6757126357,-87.6539394763,0,"TRUE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
84,"T090",41.6768873162,-87.6612219262,0,"FALSE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
88,"T091",41.6770323532,-87.6444650752,0,"FALSE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
89,"T092",41.6774470725,-87.6227850123,0,"FALSE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
140,"T212",41.6810349311,-87.5334364673,0,"FALSE",,0,,0,,,,,,,,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
129,"T158",41.6821804029,-87.710091651,0,"FALSE",,0,,0,,,,,,,,72,0,"74","74",0,0,"MOUNT GREENWOOD",0,75584290.0209,48665.1305392
86,"T090B",41.6837249746,-87.656560671,0,"TRUE",,0,,0,,,,,,,,51,0,"53","53",0,0,"WEST PULLMAN",0,99365198.0822,50023.8430008
