"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
95,"T097",41.6447200663,-87.601851528,0,"FALSE",,0,,0,,,,,,,,4460,"60827","60827","B5","G6350","S",18168373,1229641,"+41.6494340","-087.6335719"
136,"T200B",41.6483106893,-87.5596320471,0,"TRUE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
138,"T206",41.6548384476,-87.5421585536,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
134,"T200",41.656676999,-87.5594407188,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
137,"T203",41.6567891391,-87.5594401791,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
139,"T209",41.6570688756,-87.5460488651,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
148,"T221",41.6592360185,-87.6120151281,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
135,"T200A",41.6601053592,-87.546987613,0,"TRUE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
104,"T115",41.6623867276,-87.5901797275,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
109,"T135B",41.6631884935,-87.6326783598,0,"TRUE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
108,"T135",41.6635341,-87.6319993,0,"FALSE",,0,,0,,,,,,,,21864,"60628","60628","B5","G6350","S",28281720,194243,"+41.6908748","-087.6157730"
100,"T104",41.6723761758,-87.5754773766,0,"FALSE",,0,,0,,,,,,,,22253,"60633","60633","B5","G6350","S",26638667,5008815,"+41.6637834","-087.5613138"
