"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","community"
"T220A","41.987053811133364","-87.72839753205471","CDPH",TRUE,60646,17,31,130100,2,170311301002,"NORTH PARK"
"T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,60641,17,31,160300,2,170311603002,"IRVING PARK"
"T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,60634,17,31,170100,1,170311701001,"DUNNING"
"T002A","41.96541422491698","-87.78211888530257","CDPH",TRUE,60630,17,31,150501,1,170311505011,"PORTAGE PARK"
"T002B","41.95153532245593","-87.78983526326694","CDPH",TRUE,60634,17,31,170300,1,170311703001,"DUNNING"
"T002B.2","41.95526934295725","-87.79704765429102","CDPH",TRUE,60634,17,31,170100,1,170311701001,"DUNNING"
"T003","41.96537485879688","-87.75841171521544","CDPH",FALSE,60630,17,31,150300,1,170311503001,"PORTAGE PARK"
"T004","41.96261560968403","-87.7510352655956","CDPH",FALSE,60630,17,31,150200,2,170311502002,"PORTAGE PARK"
"T005","41.941990512833925","-87.7772314719966","CDPH",FALSE,60634,17,31,171100,2,170311711002,"DUNNING"
"T006","41.99023372978676","-87.79721987927368","CDPH",FALSE,60631,17,31,100300,3,170311003003,"NORWOOD PARK"
"T007","41.99549241934282","-87.76960894532459","CDPH",FALSE,60646,17,31,120100,3,170311201003,"FOREST GLEN"
"T008","42.007997503125345","-87.77823496507851","CDPH",FALSE,60646,17,31,120100,1,170311201001,"FOREST GLEN"
"T009","41.988586396324166","-87.85447335120561","CDPH",FALSE,60631,17,31,760801,1,170317608011,"OHARE"
"T009B","41.987851062637546","-87.84726704946752","CDPH",TRUE,60631,17,31,760801,1,170317608011,"OHARE"
"T011","41.94596109447193","-87.83294247349616","CDPH",FALSE,60634,17,31,170500,4,170311705004,"DUNNING"
"T012","41.99356436155678","-87.74542038704298","CDPH",FALSE,60646,17,31,120300,6,170311203006,"FOREST GLEN"
"T013","41.92388736426867","-87.77890991205359","CDPH",FALSE,60639,17,31,190601,2,170311906012,"BELMONT CRAGIN"
"T014","41.97010241075843","-87.78913064533572","CDPH",FALSE,60656,17,31,100700,1,170311007001,"NORWOOD PARK"
"T015","41.97418287382103","-87.82524093078898","CDPH",FALSE,60656,17,31,100500,5,170311005005,"NORWOOD PARK"
"T016","42.01302927467806","-87.8113497315539","CDPH",FALSE,60631,17,31,90100,2,170310901002,"EDISON PARK"
"T017","41.96201463828783","-87.64684772570871","CDPH",FALSE,60640,17,31,31400,6,170310314006,"UPTOWN"
"T018","42.01052928915475","-87.6608450688439","CDPH",FALSE,60626,17,31,10400,2,170310104002,"ROGERS PARK"
"T019","41.95166715027478","-87.69802789049841","CDPH",FALSE,60618,17,31,160700,1,170311607001,"IRVING PARK"
"T025","41.97904992373381","-87.7517739651728","CDPH",FALSE,60630,17,31,120400,1,170311204001,"FOREST GLEN"
"T027","41.986319851449004","-87.72837845617912","CDPH",FALSE,60646,17,31,130100,2,170311301002,"NORTH PARK"
"T028","41.98724460846669","-87.68941677018957","CDPH",FALSE,60625,17,31,40100,1,170310401001,"LINCOLN SQUARE"
"T028B","41.98746989952812","-87.68942307457057","CDPH",TRUE,60625,17,31,40100,1,170310401001,"LINCOLN SQUARE"
