"","url","full.txt","human.txt","human.txt2"
"1","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week23Arboreport_6132018.pdf","Arboviral Surveillance Report
June 13, 2018
Surveillance
This is the first report on arborviral surveillance in Chicago for 2018. This first report provides data on week 23
of surveillance for West Nile virus (WNV) in mosquitoes and includes data on other surveillance indicators.
Gravid traps were placed throughout Chicago and monitored twice during this first week. During this first
week of surveillance, two mosquito pools tested positive for WNV.
Mosquitoes (data from 77 traps)
Week 23 (06/03/18 – 06/09/18)
Total Collections (Number of Traps X Frequency of Collection)              146
Number of Female Culex Trapped and Tested                                 1,127
Number of Pools Tested                                                     103
Number of Pools Positive                                                     2
Number of Community Areas with Positive Mosquito Pools                       2
Cumulative Totals
Total Collections (Number of Traps X Frequency of Collection)              146
Number of Female Culex Trapped and Tested                                 1,127
Number of Pools Tested                                                     103
Number of Pools Positive                                                     2
Number of Community Areas with Positive Mosquito Pools                       2
Community Areas with Positive Mosquito Pools (Cumulative): O’Hare, West Pullman
Dead Birds: To date, 1 dead bird has been collected. Test results for the sample are pending.
Human cases: 0
Risk Assessment
Although there is an early season indication of WNV, it is not uncommon to detect virus at a low level in early
spring due to its ability to over winter in Culex females. The risk of human WNV infection in Chicago is low.
Larval and Adult Mosquito Control Efforts
The City of Chicago larvicide project began treatments on May 21. Over 35,000 catch basins in the public way
were treated. This project will continue for the next few weeks.
","Human cases: 0"," 0"
"2","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week26Arboreport_722018.pdf","c(""Arboviral Surveillance Report\r\nJuly 2, 2018\r\nSurveillance\r\nThis report provides data on week 26 of surveillance for West Nile virus (WNV) in mosquitoes and includes\r\ndata on other surveillance indicators. 80 gravid and BG sentinel traps were placed throughout the City of\r\nChicago and monitored twice a week for the duration of the mosquito-breeding season. Three (3) mosquito\r\npools tested positive and there were no other indicators of WNV activity in Chicago.\r\nMosquitoes (data from 80 traps)\r\nWeek 26 (06/24/18 – 06/30/18)\r\nTotal Collections (Number of Traps X Frequency of Collection)                  153\r\nNumber of Female Culex Trapped and Tested                                     2,138\r\nNumber of Pools Tested                                                         107\r\nNumber of Pools Positive                                                        8\r\nNumber of Community Areas with Positive Mosquito Pools                          3\r\nCumulative Totals\r\nTotal Collections (Number of Traps X Frequency of Collection)                  597\r\nNumber of Female Culex Trapped and Tested                                     5,977\r\nNumber of Pools Tested                                                         398\r\nNumber of Pools Positive                                                        14\r\nNumber of Community Areas with Positive Mosquito Pools                          4\r\nCommunity Areas with Positive Mosquito Pools (Cumulative): O’Hare, West Pullman, West Lawn,\r\nRiverdale.\r\nDead Birds: To date, 1 dead bird has been collected. Test results were negative.\r\nAedes albopictus (cumulative): 3 females and 0 males\r\nHumans: 1\r\nRisk Assessment\r\nAlthough mosquito activity is significantly increased in comparison to 2017, the risk of human West Nile virus infection\r\nin the City of Chicago is currently low. We have currently collected more than 3 times the number of mosquitoes in\r\ncomparison to this same time last year. Additionally, we have tested more than 50% as many mosquito pools and have\r\na 3-fold increase in the number of positive mosquito pools. Indicating that July could bring with it a higher risk for\r\nmosquito-borne infections.\r\n"", 
""Larval and Adult Mosquito Control Efforts\r\nThe City of Chicago larvicide project is ongoing with over 70,000 catch basins treated in the public way. Surveillance\r\ncrews will monitor catch basins for the remainder of the summer to assess the level of control.\r\n"")","Humans: 1"," 1"
"3","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week31Arboreport_872018.pdf","c(""Arboviral Surveillance Report\r\nAugust 7, 2018\r\nSurveillance\r\nThis report provides data on week 31 of surveillance for West Nile virus (WNV) in mosquitoes and includes data on other\r\nsurveillance indicators. 82 gravid and BG sentinel traps were placed throughout the City of Chicago and monitored twice\r\na week for the duration of the mosquito-breeding season. Twenty-seven (27) mosquito pools tested positive for WNV\r\nwithin our collections in Chicago.\r\nMosquitoes (data from 82 traps)\r\nWeek 31 (07/29/18 – 08/04/18)\r\nTotal Collections (Number of Traps X Frequency of Collection)                156\r\nNumber of Female Culex Trapped and Tested                                   1,405\r\nNumber of Pools Tested                                                       129\r\nNumber of Pools Positive                                                      27\r\nNumber of Community Areas with Positive Mosquito Pools                        13\r\nCumulative Totals\r\nTotal Collections (Number of Traps X Frequency of Collection)               1,302\r\nNumber of Female Culex Trapped and Tested                                   11,995\r\nNumber of Pools Tested                                                       968\r\nNumber of Pools Positive                                                     105\r\nNumber of Community Areas with Positive Mosquito Pools                        23\r\nCommunity Areas with Positive Mosquito Pools (Cumulative): Archer Heights, Ashburn, Austin,\r\nAvondale, Belmont Cragin, Chicago Lawn, Dunning, East Garfield Park, Edison Park, Forest Glen, Hegewisch, Lincoln\r\nSquare, New City, O'Hare, Portage Park, Riverdale, South Chicago, South Deering, South Lawndale, Washington Heights,\r\nWest Lawn, West Pullman, West Town\r\nDead Birds: To date, 7 dead birds have been collected; 2 were negative, 2 were unable to be tested, and test results\r\nfor the remaining 3 are pending\r\nAedes albopictus (cumulative): 83 females and 40 males\r\nHumans: 0-Additional testing done by the CDC determined that the individual previously reported as positive had\r\nprior WNV infection, with no conclusive evidence of recent infection.\r\n"", 
""Risk Assessment\r\nThe risk of human West Nile virus infection in the City of Chicago is moderate.\r\nLarval and Adult Mosquito Control Efforts\r\nSurveillance crews are monitoring catch basins for the remainder of the summer to assess the level of control.\r\n"")","Humans: 0-Additional testing done by the CDC determined that the individual previously reported as positive had"," 0-Additional testing done by the CDC determined that the individual previously  as positive had"
"4","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week35Arboreport_942018.pdf","c(""Arboviral Surveillance Report\r\nSeptember 4, 2018\r\nSurveillance\r\nThis report provides data on week 34 of surveillance for West Nile virus (WNV) in mosquitoes and includes data on other\r\nsurveillance indicators. We have placed 81 gravid and BG sentinel traps throughout the City of Chicago and continue to\r\nmonitor them twice a week for the duration of the mosquito-breeding season. Seven (7) mosquito pools tested positive\r\nfor WNV within our collections in Chicago.\r\nMosquitoes (data from 81 traps)\r\nWeek 35 (08/26/18 – 09/01/18)\r\nTotal Collections (Number of Traps X Frequency of Collection)                154\r\nNumber of Female Culex Trapped and Tested                                    468\r\nNumber of Pools Tested                                                        94\r\nNumber of Pools Positive                                                      7\r\nNumber of Community Areas with Positive Mosquito Pools                        6\r\nCumulative Totals\r\nTotal Collections (Number of Traps X Frequency of Collection)               1,918\r\nNumber of Female Culex Trapped and Tested                                   15,990\r\nNumber of Pools Tested                                                      1,433\r\nNumber of Pools Positive                                                     204\r\nNumber of Community Areas with Positive Mosquito Pools                        34\r\nCommunity Areas with Positive Mosquito Pools (cumulative): Archer Heights, Ashburn, Austin,\r\nAvondale, Belmont Cragin, Beverly, Chatham, Chicago Lawn, Clearing, Dunning, East Garfield Park, Edgewater, Edison\r\nPark, Englewood, Forest Glen, Gage Park, Hegewisch, Irving Park, Lake View, Lincoln Park, Lincoln Square, New City,\r\nNorth Park, Norwood Park, O'Hare, Portage Park, Riverdale, South Chicago, South Deering, South Lawndale, Washington\r\nHeights, West Lawn, West Pullman, West Town.\r\nDead Birds: To date, 7 dead birds have been collected; 2 were positive, 3 were negative, and 2 were unable to be\r\ntested.\r\nAedes albopictus (cumulative): 400 females and 172 males\r\nHumans: 11 cases\r\n"", 
""Risk Assessment\r\nThe risk of human West Nile virus infection in the City of Chicago remains high. Residents are urged to take personal\r\nprotective measures against getting mosquito bites.\r\nLarval and Adult Mosquito Control Efforts\r\nSurveillance crews are monitoring catch basins for the remainder of the summer to assess the level of control.\r\n"")","Humans: 11 cases"," 11 "
"5","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week24Arboreport_6182018.pdf","Arboviral Surveillance Report
June 18, 2018
Surveillance
This report provides data on week 24 of surveillance for West Nile virus (WNV) in mosquitoes and includes
data on other surveillance indicators. 78 gravid traps were placed throughout the city and will be monitored
twice a week for the duration of the mosquito-breeding season. One (1) mosquito pool tested positive for
WNV.
Mosquitoes (data from 78 traps)
Week 24 (06/10/18 – 06/16/18)
Total Collections (Number of Traps X Frequency of Collection)           149
Number of Female Culex Trapped and Tested                              1,350
Number of Pools Tested                                                   94
Number of Pools Positive                                                  1
Number of Community Areas with Positive Mosquito Pools                    1
Cumulative Totals
Total Collections (Number of Traps X Frequency of Collection)           295
Number of Female Culex Trapped and Tested                              2,477
Number of Pools Tested                                                  197
Number of Pools Positive                                                  3
Number of Community Areas with Positive Mosquito Pools                    3
Community Areas with Positive Mosquito Pools (Cumulative): O’Hare, West Pullman, West Lawn
Dead Birds: To date, 1 dead bird has been collected. Test results were negative.
Humans: 0
Risk Assessment
The risk of human West Nile virus infection in the City of Chicago remains low.
Larval and Adult Mosquito Control Efforts
Over 45,000 catch basins have been treated in the public way. This project will continue for the next few
weeks.
","Humans: 0"," 0"
"6","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week27Arboreport_792018.pdf","Arboviral Surveillance Report
July 9, 2018
Surveillance
This report provides data on week 27 of surveillance for West Nile virus (WNV) in mosquitoes and includes
data on other surveillance indicators. 81 gravid and BG sentinel traps were placed throughout the City of
Chicago and continue to monitor them twice a week for the duration of the mosquito-breeding season. Three
(3) mosquito pools tested positive for WNV within our collections in Chicago.
Mosquitoes (data from 81 traps)
Week 27 (07/01/18 – 07/07/18)
Total Collections (Number of Traps X Frequency of Collection)              81
Number of Female Culex Trapped and Tested                                 752
Number of Pools Tested                                                     83
Number of Pools Positive                                                   3
Number of Community Areas with Positive Mosquito Pools                     3
Cumulative Totals
Total Collections (Number of Traps X Frequency of Collection)             678
Number of Female Culex Trapped and Tested                                6,729
Number of Pools Tested                                                    481
Number of Pools Positive                                                   17
Number of Community Areas with Positive Mosquito Pools                     6
Community Areas with Positive Mosquito Pools (Cumulative): Ashburn, Lincoln Square, O’Hare,
Riverdale, West Lawn, West Pullman
Dead Birds: To date, 1 dead bird has been collected. Test results were negative.
Aedes albopictus (cumulative): 5 females and 1 male
Humans: 1
Risk Assessment
The risk of human West Nile virus infection in the City of Chicago is low.
Larval and Adult Mosquito Control Efforts
The City of Chicago larvicide project is completed with 80,000 catch basins treated in the public way.
Surveillance crews will continue to monitor the basins for the remainder of the summer to assess the level of
control.
","Humans: 1"," 1"
"7","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week32Arboreport_8132018.pdf","c(""Arboviral Surveillance Report\r\nAugust 13, 2018\r\nSurveillance\r\nThis report provides data on week 32 of surveillance for West Nile virus (WNV) in mosquitoes and includes data on other\r\nsurveillance indicators. 81 gravid and BG sentinel traps were placed throughout the City of Chicago and monitored twice\r\na week for the duration of the mosquito-breeding season. Thirty-one (31) mosquito pools tested positive for WNV within\r\nour collections in Chicago.\r\nMosquitoes (data from 81 traps)\r\nWeek 32 (08/05/18 – 08/11/18)\r\nTotal Collections (Number of Traps X Frequency of Collection)                 154\r\nNumber of Female Culex Trapped and Tested                                    1,549\r\nNumber of Pools Tested                                                        130\r\nNumber of Pools Positive                                                       31\r\nNumber of Community Areas with Positive Mosquito Pools                         18\r\nCumulative Totals\r\nTotal Collections (Number of Traps X Frequency of Collection)                1,456\r\nNumber of Female Culex Trapped and Tested                                   13,544\r\nNumber of Pools Tested                                                      1,098\r\nNumber of Pools Positive                                                      136\r\nNumber of Community Areas with Positive Mosquito Pools                         28\r\nCommunity Areas with Positive Mosquito Pools (Cumulative): Archer Heights, Ashburn, Austin,\r\nAvondale, Belmont Cragin, Beverly, Chicago Lawn, Clearing, Dunning, East Garfield Park, Edison Park, Forest Glen, Gage\r\nPark, Hegewisch, Lake View, Lincoln Square, New City, Norwood Park, O'Hare, Portage Park, Riverdale, South Chicago,\r\nSouth Deering, South Lawndale, Washington Heights, West Lawn, West Pullman, West Town.\r\nDead Birds: To date, 7 dead birds have been collected; 2 were positive, 3 were negative, and 2 were unable to be\r\ntested.\r\nAedes albopictus (cumulative): 105 females and 47 males\r\nHumans: 0-Additional testing done by the CDC determined that the individual previously reported as positive had\r\nprior WNV infection, with no conclusive evidence of recent infection.\r\n"", 
""Risk Assessment\r\nThe risk of human West Nile virus infection in the City of Chicago is moderate.\r\nLarval and Adult Mosquito Control Efforts\r\nSurveillance crews are monitoring catch basins for the remainder of the summer to assess the level of control. A truck\r\nULV application is scheduled for Thursday night in Chicago Lawn community area.\r\n"")","Humans: 0-Additional testing done by the CDC determined that the individual previously reported as positive had"," 0-Additional testing done by the CDC determined that the individual previously  as positive had"
"8","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week36Arboreport_9102018.pdf","c(""Arboviral Surveillance Report\r\nSeptember 10, 2018\r\nSurveillance\r\n This report provides data on week 36 of surveillance for West Nile virus (WNV) in mosquitoes and includes data on\r\nother surveillance indicators. We have placed 81 gravid and BG sentinel traps throughout the City of Chicago and\r\ncontinue to monitor them twice a week for the duration of the mosquito-breeding season. Three (3) mosquito pools\r\ntested positive for WNV within our collections in Chicago.\r\nMosquitoes (data from 81 traps)\r\nWeek 36 (09/02/18 – 09/08/18)\r\nTotal Collections (Number of Traps X Frequency of Collection)                  81\r\nNumber of Female Culex Trapped and Tested                                     539\r\nNumber of Pools Tested                                                         81\r\nNumber of Pools Positive                                                       3\r\nNumber of Community Areas with Positive Mosquito Pools                         3\r\nCumulative Totals\r\nTotal Collections (Number of Traps X Frequency of Collection)                1,999\r\nNumber of Female Culex Trapped and Tested                                   16,529\r\nNumber of Pools Tested                                                       1,514\r\nNumber of Pools Positive                                                      207\r\nNumber of Community Areas with Positive Mosquito Pools                         34\r\nCommunity Areas with Positive Mosquito Pools (cumulative): Archer Heights, Ashburn, Austin,\r\nAvondale, Belmont Cragin, Beverly, Chatham, Chicago Lawn, Clearing, Dunning, East Garfield Park, Edgewater, Edison\r\nPark, Englewood, Forest Glen, Gage Park, Hegewisch, Irving Park, Lake View, Lincoln Park, Lincoln Square, New City,\r\nNorth Park, Norwood Park, O'Hare, Portage Park, Riverdale, South Chicago, South Deering, South Lawndale, Washington\r\nHeights, West Lawn, West Pullman, West Town.\r\nDead Birds: To date, 7 dead birds have been collected; 2 were positive, 3 were negative, and 2 were unable to be\r\ntested.\r\nAedes albopictus (cumulative): 504 females and 216 males\r\nHumans: 22 cases\r\n"", 
""Risk Assessment\r\nThe risk of human West Nile virus infection in the City of Chicago is moderate. Residents are urged to take personal\r\nprotective measures against getting mosquito bites.\r\nLarval and Adult Mosquito Control Efforts\r\nSurveillance crews are monitoring catch basins for the remainder of the summer to assess the level of control.\r\n"")","Humans: 22 cases"," 22 "
"9","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week25Arboreport_6252018.pdf","Arboviral Surveillance Report
June 25, 2018
Surveillance
This report provides data on week 25 of surveillance for West Nile virus (WNV) in mosquitoes and includes
data on other surveillance indicators. 78 gravid traps were placed throughout the City of Chicago and will be
monitored twice a week for the duration of the mosquito-breeding season. Three (3) mosquito pools tested
positive and there were no other indicators of WNV activity in Chicago.
Mosquitoes (data from 78 traps)
Week 25 (06/17/18 – 06/23/18)
Total Collections (Number of Traps X Frequency of Collection)             149
Number of Female Culex Trapped and Tested                                1,362
Number of Pools Tested                                                     94
Number of Pools Positive                                                   3
Number of Community Areas with Positive Mosquito Pools                     1
Cumulative Totals
Total Collections (Number of Traps X Frequency of Collection)             444
Number of Female Culex Trapped and Tested                                3,839
Number of Pools Tested                                                    291
Number of Pools Positive                                                   6
Number of Community Areas with Positive Mosquito Pools                     3
Community Areas with Positive Mosquito Pools (Cumulative): O’Hare, West Pullman, West Lawn
Dead Birds: To date, 1 dead bird has been collected. Test results were negative.
Aedes albopictus: 1 female and 0 males
Humans: 1
Risk Assessment
The risk of human West Nile virus infection in the City of Chicago is low.
Larval and Adult Mosquito Control Efforts
The City of Chicago larvicide project is ongoing. Over 59,000 catch basins in the public way have been treated.
Surveillance crews will monitor catch basins to assess the level of control.
","Humans: 1"," 1"
"10","https://www.chicago.gov/content/dam/city/depts/cdph/food_env/general/West_Nile_Virus/Week28Arboreport_7162018.pdf","Arboviral Surveillance Report
July 16, 2018
Surveillance
This report provides data on week 28 of surveillance for West Nile virus (WNV) in mosquitoes and includes
data on other surveillance indicators. 82 gravid and BG sentinel traps were placed throughout the City and
monitored twice a week for the duration of the mosquito-breeding season. Thirteen (13) mosquito pools
tested positive for WNV within our collections in Chicago.
Mosquitoes (data from 82 traps)
Week 28 (07/08/18 – 07/14/18)
Total Collections (Number of Traps X Frequency of Collection)               156
Number of Female Culex Trapped and Tested                                  1,341
Number of Pools Tested                                                      122
Number of Pools Positive                                                     13
Number of Community Areas with Positive Mosquito Pools                       8
Cumulative Totals
Total Collections (Number of Traps X Frequency of Collection)               834
Number of Female Culex Trapped and Tested                                  8,070
Number of Pools Tested                                                      603
Number of Pools Positive                                                     30
Number of Community Areas with Positive Mosquito Pools                       13
Community Areas with Positive Mosquito Pools (Cumulative): Archer Heights, Ashburn, Avondale,
Belmont Cragin, Chicago Lawn, Lincoln Square, New City, O'Hare, Riverdale, South Deering, West Lawn, West Pullman,
West Town
Dead Birds: To date, 2 dead birds have been collected; one was negative, and test results for the second bird are
pending
Aedes albopictus (cumulative): 16 females and 3 males
Humans: 1
Risk Assessment
The risk of human West Nile virus infection in the City of Chicago remains low, but there are indications that
the upcoming weeks may see the risk increasing.
Larval and Adult Mosquito Control Efforts
Surveillance crews are monitoring catch basins for the remainder of the summer to assess the level of control.
","Humans: 1"," 1"
