"FID_noaa_w","Field1","STATION","NAME","location","LATITUDE","LONGITUDE","ELEVATION","nrows","min_date","max_date","AWND_n","DAPR_n","DASF_n","EVAP_n","FMTM_n","MDPR_n","MDSF_n","MNPN_n","MXPN_n","PGTM_n","PRCP_n","SN32_n","SN52_n","SNOW_n","SNWD_n","SX32_n","SX52_n","TAVG_n","TMAX_n","TMIN_n","TOBS_n","WDF2_n","WDF5_n","WDMV_n","WESD_n","WESF_n","WSF2_n","WSF5_n","WSFG_n","WT01_n","WT02_n","WT03_n","WT04_n","WT05_n","WT06_n","WT07_n","WT08_n","WT09_n","WT10_n","WT11_n","WT13_n","WT14_n","WT15_n","WT16_n","WT17_n","WT18_n","WT19_n","WT21_n","WT22_n","SN53_n","SX53_n","tavg2_n","FID_tl_201","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
293,294,"USC00115763","MONEE RESERVOIR, IL US","(41.39355,-87.76438)",41.39355,-87.76438,226,4391,1/1/2006,12/27/2018,0,109,0,0,0,150,1,0,0,0,4108,0,0,3229,3206,0,0,0,0,0,0,0,0,0,4,0,0,0,0,220,0,240,27,11,19,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2679,"17","197","883602","4","171978836024","Block Group 4","G5030","S",35109085,167099,"+41.4089205","-087.7234345"
242,243,"US1ILWL0140","CRETE 3.7 SSE, IL US","(41.4048,-87.5843)",41.4048,-87.5843,220,416,10/11/2017,12/30/2018,0,0,0,0,0,0,0,0,0,0,416,0,0,248,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8781,"17","197","883808","1","171978838081","Block Group 1","G5030","S",30930415,0,"+41.4049122","-087.5834523"
236,237,"US1ILWL0121","MONEE 4.9 W, IL US","(41.4147,-87.8479)",41.4147,-87.8479,221,1545,7/1/2014,12/30/2018,0,0,0,0,0,0,0,0,0,0,1545,0,0,837,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762,"17","197","883507","2","171978835072","Block Group 2","G5030","S",47113220,0,"+41.4041669","-087.8445726"
220,221,"US1ILWL0065","CRETE 2.6 SSW, IL US","(41.4171,-87.63)",41.4171,-87.63,230,812,4/1/2010,10/8/2018,0,0,0,0,0,0,0,0,0,0,811,0,0,439,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8781,"17","197","883808","1","171978838081","Block Group 1","G5030","S",30930415,0,"+41.4049122","-087.5834523"
208,209,"US1ILWL0018","CRETE 1.4 SW, IL US","(41.4411,-87.6379)",41.4411,-87.6379,226,236,4/16/2007,9/20/2008,0,0,0,0,0,0,0,0,0,0,236,0,0,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6232,"17","197","883809","2","171978838092","Block Group 2","G5030","S",8906707,0,"+41.4323808","-087.6508239"
241,242,"US1ILWL0138","CRETE 2.7 W, IL US","(41.4457,-87.6658)",41.4457,-87.6658,229,421,10/8/2017,12/30/2018,0,0,0,0,0,0,0,0,0,0,421,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,"17","197","883804","2","171978838042","Block Group 2","G5030","S",4839171,0,"+41.4512820","-087.6512859"
209,210,"US1ILWL0025","CRETE 2.6 E, IL US","(41.4468,-87.5657)",41.4468,-87.5657,213,4145,5/18/2007,12/30/2018,0,0,0,0,0,0,0,0,0,0,4145,0,0,2946,965,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,"17","197","883806","3","171978838063","Block Group 3","G5030","S",13436027,41358,"+41.4549732","-087.5546112"
292,293,"USC00115314","MANHATTAN 5 NE, IL US","(41.45886,-87.91044)",41.45886,-87.91044,228,3186,1/1/2010,12/31/2018,0,8,0,0,0,8,0,0,0,0,3176,0,0,3066,2712,0,0,0,0,0,0,0,0,0,197,54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,"17","197","883510","1","171978835101","Block Group 1","G5030","S",41177249,0,"+41.4490684","-087.9585847"
239,240,"US1ILWL0136","CRETE 3.3 ENE FRANKTUARY FARM, IL US","(41.4663,-87.5544)",41.4663,-87.5544,207,569,5/24/2017,12/30/2018,0,0,0,0,0,0,0,0,0,0,569,0,0,397,79,0,0,0,0,0,0,0,0,0,71,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,"17","197","883806","3","171978838063","Block Group 3","G5030","S",13436027,41358,"+41.4549732","-087.5546112"
227,228,"US1ILWL0093","NEW LENOX 4.2 SE, IL US","(41.4681,-87.9378)",41.4681,-87.9378,220,1573,4/16/2012,7/27/2018,0,0,0,0,0,0,0,0,0,0,1570,0,0,1311,1027,0,0,0,0,0,0,0,0,0,1014,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,"17","197","883510","1","171978835101","Block Group 1","G5030","S",41177249,0,"+41.4490684","-087.9585847"
