"FID_noaa_w","Field1","STATION","NAME","location","LATITUDE","LONGITUDE","ELEVATION","nrows","min_date","max_date","AWND_n","DAPR_n","DASF_n","EVAP_n","FMTM_n","MDPR_n","MDSF_n","MNPN_n","MXPN_n","PGTM_n","PRCP_n","SN32_n","SN52_n","SNOW_n","SNWD_n","SX32_n","SX52_n","TAVG_n","TMAX_n","TMIN_n","TOBS_n","WDF2_n","WDF5_n","WDMV_n","WESD_n","WESF_n","WSF2_n","WSF5_n","WSFG_n","WT01_n","WT02_n","WT03_n","WT04_n","WT05_n","WT06_n","WT07_n","WT08_n","WT09_n","WT10_n","WT11_n","WT13_n","WT14_n","WT15_n","WT16_n","WT17_n","WT18_n","WT19_n","WT21_n","WT22_n","SN53_n","SX53_n","tavg2_n","FID_geo_ex","area","area_num_1","area_numbe","comarea","comarea_id","community","perimeter","shape_area","shape_len"
36,37,"US1ILCK0082","BURNHAM HEGEWISCH 1.6 NNW, IL US","(41.6598,-87.5529)",41.6598,-87.5529,178,3160,9/6/2007,6/22/2018,0,0,0,0,0,0,0,0,0,0,3159,0,0,2240,104,0,0,0,0,0,0,0,0,0,37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,"55","55",0,0,"HEGEWISCH",0,145965741.437,73692.3821322
71,72,"US1ILCK0158","MERRIONETTE PARK 1.2 NNW, IL US","(41.6961,-87.7087)",41.6961,-87.7087,189,438,11/15/2009,7/24/2012,0,0,0,0,0,0,0,0,0,0,438,0,0,248,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,"74","74",0,0,"MOUNT GREENWOOD",0,75584290.0209,48665.1305392
50,51,"US1ILCK0108","BEVERLY 0.3 N, IL US","(41.7165,-87.671)",41.7165,-87.671,203,340,4/10/2008,6/9/2011,0,0,0,0,0,0,0,0,0,0,340,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,"72","72",0,0,"BEVERLY",0,88779363.9384,44591.4851009
301,302,"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","(41.78611,-87.75222)",41.78611,-87.75222,186,4714,1/1/2006,12/29/2018,4707,0,0,0,0,0,0,0,0,4713,4709,0,0,97,97,0,0,0,4714,4714,0,4713,4713,0,0,0,4713,4713,0,1313,86,384,0,8,0,0,904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4714,54,0,"56","56",0,0,"GARFIELD RIDGE",0,117890778.429,60080.4479704
5,6,"US1ILCK0014","CHICAGO 5.5 ESE, IL US","(41.8008,-87.5903)",41.8008,-87.5903,183,4163,1/15/2007,12/30/2018,0,0,0,0,0,0,0,0,0,0,4163,0,0,3398,1757,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,"41","41",0,0,"HYDE PARK",0,45105380.1732,29746.7082016
91,92,"US1ILCK0204","BOOT CAMP CHICAGO 4.2 SW, IL US","(41.8421,-87.6891)",41.8421,-87.6891,183,153,10/1/2012,10/30/2013,0,0,0,0,0,0,0,0,0,0,152,0,0,106,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,"30","30",0,0,"SOUTH LAWNDALE",0,127998297.867,49904.0452102
285,286,"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","(41.8558,-87.6094)",41.8558,-87.6094,178,4708,1/1/2006,12/30/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4699,4690,4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4689,33,0,"33","33",0,0,"NEAR SOUTH SIDE",0,49769639.4541,45053.1651038
2,3,"US1ILCK0010","CHICAGO 3.0 N, IL US","(41.8798,-87.6823)",41.8798,-87.6823,181,165,8/21/2007,9/16/2010,0,0,0,0,0,0,0,0,0,0,165,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,"28","28",0,0,"NEAR WEST SIDE",0,158492466.554,53003.5929406
10,11,"US1ILCK0036","CHICAGO 4.7 NE, IL US","(41.886,-87.621)",41.886,-87.621,191,3300,3/15/2007,12/30/2018,0,0,0,0,0,0,0,0,0,0,3300,0,0,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,"32","32",0,0,"LOOP",0,46335565.4586,39428.6729962
103,104,"US1ILCK0240","CHICAGO 2.7 WNW, IL US","(41.9018,-87.6726)",41.9018,-87.6726,183,493,6/18/2014,11/6/2018,0,0,0,0,0,0,0,0,0,0,491,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,"24","24",0,0,"WEST TOWN",0,127562904.597,55203.7186956
52,53,"US1ILCK0117","CHICAGO 3.0 NW, IL US","(41.9125,-87.6695)",41.9125,-87.6695,178,136,7/9/2008,10/26/2010,0,0,0,0,0,0,0,0,0,0,136,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,"24","24",0,0,"WEST TOWN",0,127562904.597,55203.7186956
20,21,"US1ILCK0055","CHICAGO 6.0 NNE, IL US","(41.917,-87.6386)",41.917,-87.6386,190,280,2/13/2007,7/8/2008,0,0,0,0,0,0,0,0,0,0,280,0,0,280,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,"7","7",0,0,"LINCOLN PARK",0,88316400.4728,49478.4277714
104,105,"US1ILCK0243","ELMWOOD PARK 0.7 ESE, IL US","(41.9177,-87.8037)",41.9177,-87.8037,195,1441,8/11/2014,12/27/2018,0,0,0,0,0,0,0,0,0,0,1441,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,"25","25",0,0,"AUSTIN",0,199254203.427,75226.4749167
9,10,"US1ILCK0032","CHICAGO 6.4 NNE, IL US","(41.9266,-87.6562)",41.9266,-87.6562,186,515,3/28/2007,10/31/2018,0,0,0,0,0,0,0,0,0,0,504,0,0,133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,"7","7",0,0,"LINCOLN PARK",0,88316400.4728,49478.4277714
54,55,"US1ILCK0122","CHICAGO 6.5 NNE, IL US","(41.9272,-87.6517)",41.9272,-87.6517,187,196,6/19/2008,4/23/2010,0,0,0,0,0,0,0,0,0,0,196,0,0,151,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,"7","7",0,0,"LINCOLN PARK",0,88316400.4728,49478.4277714
44,45,"US1ILCK0097","CHICAGO 6.8 NNE, IL US","(41.9301,-87.6393)",41.9301,-87.6393,180,1362,3/26/2008,3/8/2012,0,0,0,0,0,0,0,0,0,0,1362,0,0,982,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,"7","7",0,0,"LINCOLN PARK",0,88316400.4728,49478.4277714
47,48,"US1ILCK0102","ELMWOOD PARK 4.3 E, IL US","(41.9331,-87.7334)",41.9331,-87.7334,186,338,4/2/2008,8/27/2009,0,0,0,0,0,0,0,0,0,0,338,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,"20","20",0,0,"HERMOSA",0,32602059.4055,27179.0174378
29,30,"US1ILCK0070","HARWOOD HEIGHTS 2.6 SE, IL US","(41.9393,-87.77)",41.9393,-87.77,191,231,3/25/2007,12/5/2007,0,0,0,0,0,0,0,0,0,0,231,0,0,231,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,"15","15",0,0,"PORTAGE PARK",0,110196097.139,46520.6421377
80,81,"US1ILCK0179","CHICAGO 4.8 NNW, IL US","(41.9481,-87.6588)",41.9481,-87.6588,183,254,4/20/2011,5/21/2017,0,0,0,0,0,0,0,0,0,0,254,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,"6","6",0,0,"LAKE VIEW",0,87214799.2728,51973.0968677
48,49,"US1ILCK0104","LINCOLNWOOD 5.1 SE, IL US","(41.9494,-87.6703)",41.9494,-87.6703,182,174,3/30/2008,11/19/2008,0,0,0,0,0,0,0,0,0,0,174,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,"6","6",0,0,"LAKE VIEW",0,87214799.2728,51973.0968677
73,74,"US1ILCK0168","RAVENSWOOD MANOR 0.1 ESE, IL US","(41.9642,-87.6974)",41.9642,-87.6974,178,910,8/31/2010,12/2/2018,0,0,0,0,0,0,0,0,0,0,910,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,"14","14",0,0,"ALBANY PARK",0,53542230.8191,39339.0164387
