"FID_noaa_w","Field1","STATION","NAME","location","LATITUDE","LONGITUDE","ELEVATION","nrows","min_date","max_date","AWND_n","DAPR_n","DASF_n","EVAP_n","FMTM_n","MDPR_n","MDSF_n","MNPN_n","MXPN_n","PGTM_n","PRCP_n","SN32_n","SN52_n","SNOW_n","SNWD_n","SX32_n","SX52_n","TAVG_n","TMAX_n","TMIN_n","TOBS_n","WDF2_n","WDF5_n","WDMV_n","WESD_n","WESF_n","WSF2_n","WSF5_n","WSFG_n","WT01_n","WT02_n","WT03_n","WT04_n","WT05_n","WT06_n","WT07_n","WT08_n","WT09_n","WT10_n","WT11_n","WT13_n","WT14_n","WT15_n","WT16_n","WT17_n","WT18_n","WT19_n","WT21_n","WT22_n","SN53_n","SX53_n","tavg2_n","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
293,294,"USC00115763","MONEE RESERVOIR, IL US","(41.39355,-87.76438)",41.39355,-87.76438,226,4391,1/1/2006,12/27/2018,0,109,0,0,0,150,1,0,0,0,4108,0,0,3229,3206,0,0,0,0,0,0,0,0,0,4,0,0,0,0,220,0,240,27,11,19,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10398,"60449","60449","B5","G6350","S",125852819,167099,"+41.4175495","-087.7788858"
242,243,"US1ILWL0140","CRETE 3.7 SSE, IL US","(41.4048,-87.5843)",41.4048,-87.5843,220,416,10/11/2017,12/30/2018,0,0,0,0,0,0,0,0,0,0,416,0,0,248,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,"60417","60417","B5","G6350","S",100837942,106002,"+41.4275852","-087.5861488"
252,253,"US1INLK0029","CROWN POINT 3.1 WSW, IN US","(41.4125,-87.4157)",41.4125,-87.4157,218,486,2/6/2008,12/9/2011,0,0,0,0,0,0,0,0,0,0,485,0,0,395,30,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21640,"46307","46307","B5","G6350","S",226887849,1887191,"+41.4024083","-087.3255247"
236,237,"US1ILWL0121","MONEE 4.9 W, IL US","(41.4147,-87.8479)",41.4147,-87.8479,221,1545,7/1/2014,12/30/2018,0,0,0,0,0,0,0,0,0,0,1545,0,0,837,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10398,"60449","60449","B5","G6350","S",125852819,167099,"+41.4175495","-087.7788858"
280,281,"US1INLK0099","ST. JOHN 2.8 SE, IN US","(41.4152,-87.4436)",41.4152,-87.4436,223,230,5/15/2018,12/30/2018,0,0,0,0,0,0,0,0,0,0,230,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21640,"46307","46307","B5","G6350","S",226887849,1887191,"+41.4024083","-087.3255247"
220,221,"US1ILWL0065","CRETE 2.6 SSW, IL US","(41.4171,-87.63)",41.4171,-87.63,230,812,4/1/2010,10/8/2018,0,0,0,0,0,0,0,0,0,0,811,0,0,439,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,"60417","60417","B5","G6350","S",100837942,106002,"+41.4275852","-087.5861488"
299,300,"USC00121940","CROWN POINT 1 N, IN US","(41.4388,-87.3545)",41.4388,-87.3545,212,4700,1/1/2006,12/30/2018,0,8,0,0,0,8,0,0,0,0,4694,0,0,3837,3120,0,0,0,0,0,0,0,0,0,103,144,0,0,0,27,0,52,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21640,"46307","46307","B5","G6350","S",226887849,1887191,"+41.4024083","-087.3255247"
208,209,"US1ILWL0018","CRETE 1.4 SW, IL US","(41.4411,-87.6379)",41.4411,-87.6379,226,236,4/16/2007,9/20/2008,0,0,0,0,0,0,0,0,0,0,236,0,0,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,"60417","60417","B5","G6350","S",100837942,106002,"+41.4275852","-087.5861488"
241,242,"US1ILWL0138","CRETE 2.7 W, IL US","(41.4457,-87.6658)",41.4457,-87.6658,229,421,10/8/2017,12/30/2018,0,0,0,0,0,0,0,0,0,0,421,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,"60417","60417","B5","G6350","S",100837942,106002,"+41.4275852","-087.5861488"
261,262,"US1INLK0046","ST. JOHN 0.2 WSW, IN US","(41.4463,-87.4802)",41.4463,-87.4802,213,3148,1/1/2010,11/26/2018,0,0,0,0,0,0,0,0,0,0,3147,0,0,3053,1266,0,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21995,"46373","46373","B5","G6350","S",26206116,224442,"+41.4483546","-087.4679011"
209,210,"US1ILWL0025","CRETE 2.6 E, IL US","(41.4468,-87.5657)",41.4468,-87.5657,213,4145,5/18/2007,12/30/2018,0,0,0,0,0,0,0,0,0,0,4145,0,0,2946,965,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26912,"60417","60417","B5","G6350","S",100837942,106002,"+41.4275852","-087.5861488"
