"date","USW00014819_PRCP","USW00014819_tavg2","USW00014819_TMAX","USW00014819_TMIN","USW00094846_PRCP","USW00094846_tavg2","USW00094846_TMAX","USW00094846_TMIN"
2006-01-01,0,38,46,30,0.03,35.5,45,26
2006-01-02,0,41.5,43,40,0.37,41,42,40
2006-01-03,0,40.5,42,39,0,40.5,42,39
2006-01-04,0,39,43,35,0.02,39.5,43,36
2006-01-05,0,34,37,31,0,34,37,31
2006-01-06,0,29.5,31,28,0,29.5,31,28
2006-01-07,0,34.5,40,29,0,33.5,39,28
2006-01-08,0,39.5,45,34,0,38.5,45,32
2006-01-09,0,37,40,34,0,35.5,38,33
2006-01-10,0.05,32,38,26,0.05,29,38,20
2006-01-11,0.08,39.5,43,36,0.05,39.5,42,37
2006-01-12,0,46.5,56,37,0,47.5,57,38
2006-01-13,0.91,40,48,32,0.67,40.5,49,32
2006-01-14,0,33.5,37,30,0,32.5,37,28
2006-01-15,0,36,43,29,0,36,45,27
2006-01-16,0,39,46,32,0,38.5,47,30
2006-01-17,0,35.5,44,27,0,35,43,27
2006-01-18,0,28.5,36,21,0,27.5,35,20
2006-01-19,0,44,55,33,0,41,55,27
2006-01-20,0.81,40.5,49,32,0.78,39,46,32
2006-01-21,0.04,28,33,23,0.04,26,34,18
2006-01-22,0,27,36,18,0,30,36,24
2006-01-23,0,26.5,30,23,0,26.5,30,23
2006-01-24,0,34.5,40,29,0,34.5,40,29
2006-01-25,0,31,36,26,0,30,35,25
2006-01-26,0,33,43,23,0,30,43,17
2006-01-27,0,42,49,35,0,43,51,35
2006-01-28,0.5,45.5,51,40,0.48,42.5,49,36
2006-01-29,0.34,45,50,40,0.28,44.5,50,39
2006-01-30,0,36,40,32,0.01,35.5,39,32
2006-01-31,0,34.5,38,31,0,34,38,30
2006-02-01,0,40.5,49,32,0,39.5,48,31
2006-02-02,0,36,43,29,0,35,43,27
2006-02-03,0.23,37.5,44,31,0.49,38,44,32
2006-02-04,0,28,32,24,0.02,28.5,32,25
2006-02-05,0,28,34,22,0,27.5,34,21
