"","objectid","shape_area","shape_len","zip"
"0","33","106052287.488","42720.0444058","60647"
"1","34","127476050.762","48103.7827213","60639"
"2","35","45069038.4783","27288.6096123","60707"
"3","36","70853834.3797","42527.9896789","60622"
"4","37","99039621.2518","47970.1401531","60651"
"5","38","23506055.7304","34689.3506306","60611"
"6","39","166166339.096","67710.6467392","60638"
"7","40","128309832.185","48187.9498796","60652"
"8","1","49170578.9623","33983.9133065","60626"
"9","8","66565454.8469","38321.3137692","60615"
"10","9","104746821.074","42299.9203908","60621"
"11","2","62181473.5197","32075.5994211","60645"
"12","13","183013076.262","59337.8074397","60643"
"13","3","37984388.8422","27307.8138361","60660"
"14","4","77305245.7089","48985.8713041","60640"
"15","32","94460631.8068","50587.3473804","60614"
"16","41","107117591.88","68289.7515766","60631"
"17","42","117890054.124","62633.1398208","60646"
"18","43","345241692.171","83748.9919899","60628"
"19","5","105830918.023","42524.1104776","60625"
"20","6","113903341.112","42682.9829469","60641"
"21","7","63547755.9216","45646.4880277","60657"
"22","10","104114706.691","42448.2828439","60636"
"23","11","80526076.0889","55092.8632931","60649"
"24","12","452837422.002","102528.036078","60617"
"25","14","187526657.189","59703.2158155","60633"
"26","15","3136688.22496","7175.09216765","60643"
"27","16","106718949.386","42663.1966757","60612"
"28","48","4294901.99439","12245.8084015","60604"
"29","17","99418122.471","40394.4100077","60624"
"30","47","89515884.463","84430.9732159","60656"
"31","18","99092221.5388","40030.8385293","60644"
"32","49","115380139.149","77392.3226132","60655"
"33","19","4560228.98203","13672.6822885","60603"
"34","20","36301276.3485","37973.3461051","60605"
"35","21","67759827.8103","34316.3615428","60653"
"36","22","213490325.264","58540.9204127","60609"
"37","23","282085137.575","101876.553747","60666"
"38","24","141235867.545","47847.080382","60618"
"39","25","109667069.368","45823.5398375","60616"
"40","26","4847124.8171","14448.1749926","60602"
"41","27","9166245.79985","19804.5821088","60601"
"42","28","176505462.522","53169.2177202","60608"
"43","29","64664293.9426","39143.6395171","60607"
"44","30","9357755.68017","13132.5654896","60661"
"45","31","6766410.89809","12040.4402354","60606"
"46","44","48551330.3923","28833.9637574","60827"
"47","45","131073763.12","49198.9402832","60630"
"48","46","47961494.4","31296.2271441","60642"
"49","50","69698411.4356","38931.5266612","60659"
"50","51","3450671.14336","7909.89040711","60707"
"51","52","194062612.162","77647.3180069","60634"
"52","53","53990894.8848","31196.3206564","60613"
"53","54","31598157.0867","24208.6988788","60610"
"54","55","15869961.3469","17119.6988775","60654"
"55","56","211755252.573","63253.238669","60632"
"56","57","155285532.005","53406.9156168","60623"
"57","58","211114779.439","58701.3253749","60629"
"58","59","211696050.967","58466.1602979","60620"
"59","60","125424284.172","52377.8545408","60637"
"60","61","167872012.644","53040.9070778","60619"
