Category: All categories

Month,mosquito bites: (Chicago IL)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,26
2004-07,15
2004-08,7
2004-09,20
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,5
2005-04,0
2005-05,5
2005-06,5
2005-07,7
2005-08,9
2005-09,6
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,3
2006-06,5
2006-07,20
2006-08,18
2006-09,3
2006-10,3
2006-11,3
2006-12,0
2007-01,0
2007-02,0
2007-03,2
2007-04,2
2007-05,11
2007-06,4
2007-07,12
2007-08,35
2007-09,25
2007-10,7
2007-11,0
2007-12,0
2008-01,0
2008-02,2
2008-03,0
2008-04,4
2008-05,3
2008-06,17
2008-07,19
2008-08,16
2008-09,13
2008-10,2
2008-11,0
2008-12,0
2009-01,2
2009-02,2
2009-03,2
2009-04,0
2009-05,7
2009-06,11
2009-07,29
2009-08,21
2009-09,10
2009-10,2
2009-11,2
2009-12,2
2010-01,1
2010-02,3
2010-03,1
2010-04,1
2010-05,7
2010-06,33
2010-07,46
2010-08,81
2010-09,15
2010-10,9
2010-11,3
2010-12,6
2011-01,2
2011-02,2
2011-03,1
2011-04,3
2011-05,8
2011-06,42
2011-07,42
2011-08,54
2011-09,26
2011-10,9
2011-11,3
2011-12,2
2012-01,2
2012-02,1
2012-03,3
2012-04,2
2012-05,11
2012-06,29
2012-07,33
2012-08,30
2012-09,18
2012-10,4
2012-11,2
2012-12,2
2013-01,1
2013-02,2
2013-03,3
2013-04,2
2013-05,14
2013-06,37
2013-07,76
2013-08,52
2013-09,24
2013-10,5
2013-11,4
2013-12,2
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,15
2014-06,57
2014-07,82
2014-08,53
2014-09,43
2014-10,8
2014-11,4
2014-12,3
2015-01,2
2015-02,2
2015-03,4
2015-04,6
2015-05,18
2015-06,55
2015-07,100
2015-08,43
2015-09,23
2015-10,5
2015-11,4
2015-12,3
2016-01,5
2016-02,3
2016-03,4
2016-04,4
2016-05,14
2016-06,46
2016-07,40
2016-08,60
2016-09,43
2016-10,12
2016-11,4
2016-12,3
2017-01,3
2017-02,3
2017-03,4
2017-04,6
2017-05,14
2017-06,40
2017-07,61
2017-08,49
2017-09,20
2017-10,8
2017-11,4
2017-12,2
2018-01,3
2018-02,3
2018-03,1
2018-04,3
2018-05,27
2018-06,56
2018-07,100
2018-08,46
2018-09,66
2018-10,9
2018-11,3
2018-12,3
2019-01,3
