Category: All categories

Month,west nile: (Chicago IL)
2004-01,5
2004-02,6
2004-03,8
2004-04,14
2004-05,20
2004-06,91
2004-07,75
2004-08,44
2004-09,37
2004-10,16
2004-11,0
2004-12,5
2005-01,6
2005-02,5
2005-03,2
2005-04,7
2005-05,11
2005-06,18
2005-07,41
2005-08,100
2005-09,49
2005-10,13
2005-11,8
2005-12,2
2006-01,2
2006-02,5
2006-03,8
2006-04,2
2006-05,10
2006-06,14
2006-07,27
2006-08,61
2006-09,51
2006-10,17
2006-11,5
2006-12,4
2007-01,3
2007-02,4
2007-03,3
2007-04,5
2007-05,16
2007-06,14
2007-07,22
2007-08,57
2007-09,58
2007-10,9
2007-11,6
2007-12,4
2008-01,2
2008-02,3
2008-03,3
2008-04,3
2008-05,3
2008-06,19
2008-07,19
2008-08,18
2008-09,14
2008-10,8
2008-11,1
2008-12,3
2009-01,3
2009-02,3
2009-03,2
2009-04,4
2009-05,4
2009-06,6
2009-07,5
2009-08,6
2009-09,6
2009-10,5
2009-11,2
2009-12,2
2010-01,3
2010-02,2
2010-03,1
2010-04,4
2010-05,3
2010-06,8
2010-07,14
2010-08,26
2010-09,9
2010-10,3
2010-11,3
2010-12,1
2011-01,2
2011-02,1
2011-03,1
2011-04,2
2011-05,3
2011-06,9
2011-07,12
2011-08,17
2011-09,6
2011-10,2
2011-11,2
2011-12,1
2012-01,1
2012-02,2
2012-03,2
2012-04,2
2012-05,4
2012-06,7
2012-07,15
2012-08,93
2012-09,65
2012-10,16
2012-11,4
2012-12,2
2013-01,1
2013-02,1
2013-03,1
2013-04,2
2013-05,4
2013-06,11
2013-07,21
2013-08,14
2013-09,13
2013-10,5
2013-11,1
2013-12,2
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,2
2014-06,12
2014-07,20
2014-08,16
2014-09,18
2014-10,5
2014-11,2
2014-12,2
2015-01,1
2015-02,2
2015-03,2
2015-04,2
2015-05,3
2015-06,9
2015-07,32
2015-08,15
2015-09,11
2015-10,3
2015-11,2
2015-12,2
2016-01,1
2016-02,2
2016-03,1
2016-04,1
2016-05,2
2016-06,6
2016-07,6
2016-08,10
2016-09,12
2016-10,3
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,2
2017-05,2
2017-06,6
2017-07,14
2017-08,15
2017-09,6
2017-10,2
2017-11,1
2017-12,1
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,3
2018-06,11
2018-07,23
2018-08,15
2018-09,16
2018-10,5
2018-11,1
2018-12,<1
2019-01,1
