"CFNAME","CFTYPE","CFSUBTYPE","ADDRESS","GNISCODE","COMMENT","SOURCE","Jurisdicti","Community","MERGEID","POINT_X","POINT_Y"
"Advocate Christ Medical Center","Hospital","Hospital","9340 S Kostner Ave",426825,,"CGI",,"Oak Lawn","11216",1148289.7915,1841934.22025
"Palos Primary Care Center","Hospital","Hospital","15300 West Ave",2036658,,"CL",,"Orland Park","11376",1112171.47925,1801018.463
"Oak Forest Hospital","Hospital","Hospital","15901 Cicero Ave",414760,,"CEGL",,"Bremen Twp","11469",1148861.5795,1797286.149
"Gottlieb Memorial Hospital","Hospital","Hospital","375 W North Ave",409212,,"BCEG",,"Melrose Park","12387",1117588.3475,1910458.65675
"Glenbrook Hospital","Hospital","Hospital","2100 Pfingsten Rd",2033578,,"CEGI",,"Glenview","12751",1114997.3155,1976713.35875
"Cermak Hospital","Hospital","Hospital","2739 S Sacramento Ave",2673936,,"CEG",,"Chicago","14874",1157406.57225,1885472.11
"Hartgrove Hospital","Hospital","Hospital","5720 W Roosevelt Rd",1832957,,"C",,"Chicago","15116",1138396.85325,1894456.2095
"Sacred Heart Hospital","Hospital","Hospital","3238 W Franklin Blvd",1826901,,"C",,"Chicago","15378",1154451.11675,1903351.87825
"Saint Mary Of Nazareth Hospital","Hospital","Hospital","2233 W Division St",417534,,"BCG",,"Chicago","16023",1161197.087,1907603.377
"Saint Elizabeth's Hospital","Hospital","Hospital","1432 N Oakley Blvd",417267,,"BCGE",,"Chicago","16025",1160643.124,1909529.15675
"Advocate Illinois Masonic Medical Center","Hospital","Hospital","831 W Nelson St",1830635,,"BCEG",,"Chicago","16268",1169728.736,1920398.0935
"Kindred Chicago Central Hospital","Hospital","Hospital","4058 W Melrose St",404152,,"CE",,"Chicago","16325",1148698.721,1921391.66675
"Shriners Hospitals for Children","Hospital","Hospital","2211 N Oak Park Ave",1764375,,"CEG",,"Chicago","16492",1131253.379,1913894.4905
"Holy Cross Hospital","Hospital","Hospital","6801 S California Ave",410435,,"BCGE",,"Chicago","16718",1159144.43225,1859109.65025
"La Rabida Children's Hospital","Hospital","Hospital","6501 S Promontory Dr",1831256,,"BCGI",,"Chicago","18601",1190151.93275,1862105.5285
"Adventist La Grange Memorial Hospital","Hospital","Hospital","5101 WILLOW SPRINGS RD",1831302,,"BCEGI",,"La Grange","19316",1106245.4655,1868755.6035
"Rush Medical Loyola Specialty Hospital","Hospital","Hospital","5601 S COUNTY LINE RD",1836836,,"CG",,"Hinsdale","19359",1098195.27375,1864986.22775
"Mercy Medical Center","Hospital","Hospital","9050 W 81ST ST",1737227,,"C",,"Justice","19448",1116955.444,1849598.23625
"University of Illinois at Chicago Hospital","Hospital","Hospital","1740 W Taylor Ave",2662346,"Additional GNIS Codes.","CEGH",,"Chicago","19573",1164474.05375,1896045.65175
"Mercy Hospital and Medical Center","Hospital","Hospital","2525 S Michigan Ave",413417,,"BCEG",,"Chicago","19592",1178093.178,1887485.5425
"Saint James Hospital","Hospital","Hospital","20201 Crawford Ave",426793,,"CEGI",,"Olympia Fields","19620",1154740.27975,1769213.162
"Core Center Ruth M. Rothstein","Hospital","Hospital","2030 W Harrison St",0,,"EG",,"Chicago","19674",1162796.88875,1897531.0525
"Jesse Brown Veterans Medical Center","Hospital","Hospital","820 S Damen Ave",2662362,,"CEGI",,"Chicago","19683",1162550.1675,1895828.2865
"University of Illinois at Chicago College of Medicine - School of Public Health West","Hospital","Hospital","2121 W Taylor St",0,,"GH",,"Chicago","19697",1162406.97625,1895341.44975
"John H Stroger Junior Hospital Cook County","Hospital","Hospital","1901 W Harrison St",1826093,,"CEG",,"Chicago","19783",1163950.41625,1896984.386
"Mount Sinai Hospital","Hospital","Hospital","1500 S California Ave",2662326,"Additional GNIS code of 414081.","BCEG",,"Chicago","19819",1158298.469,1892547.68125
"Saint Anthony Hospital","Hospital","Hospital","2875 W 19th St",417172,,"BCEG",,"Chicago","19895",1157440.7635,1890455.83575
"Advocate Bethany Hospital","Hospital","Hospital","3435 West Van Buren St",404257,"Additional GNIS code of 1826372.","CEG",,"Chicago","19953",1153422.1515,1897803.53725
"PCC Austin Family Health Center","Hospital","Hospital","5425 W Lake St",0,,"G",,"Chicago","19959",1140027.81575,1901923.41275
"Westown Neighborhood Health Center","Hospital","Hospital","2418 W Division St",0,,"GI",,"Chicago","19980",1160037.105,1908090.878
"Norwegian American Hospital Incorporated","Hospital","Hospital","1052 N Mozart St",1831552,,"BCEG",,"Chicago","20086",1156795.37,1907070.18025
"Loretto Hospital","Hospital","Hospital","645 S Central Ave",2662328,,"CEG",,"Chicago","20095",1139432.28125,1896461.38475
"Chicago Kindred Hospital Northlake","Hospital","Hospital","365 E North Ave",2662337,,"CE",,"Northlake","20409",1104827.9845,1908935.5055
"Englewood Health Center","Hospital","Hospital","641 W 63rd St",0,,"GI",,"Chicago","20438",1172862.1275,1862938.4015
"Saint Bernard Hospital","Hospital","Hospital","326 W 64th St",2662320,,"BCEG",,"Chicago","20446",1175296.8435,1862750.86
"Englewood Health Center","Hospital","Hospital","1135 W 69th St",0,,"EG",,"Chicago","20478",1169832.56425,1858952.0545
"Jackson Park Hospital and Medical Center","Hospital","Hospital","7531 S Stony Island Ave",411002,"Additional GNIS code of 1737734.","BCEG",,"Chicago","20568",1188400.585,1855216.2025
"South Shore Hospital","Hospital","Hospital","8012 S Crandon Ave",418835,,"BCEG",,"Chicago","20717",1192770.2575,1852081.31925
"Roseland Community Hospital","Hospital","Hospital","45 W 111th St",426653,,"BCEG",,"Chicago","20804",1177582.68825,1831257.354
"Saint Francis Hospital Metro South Medical Center","Hospital","Hospital","12935 Gregory St",426914,,"CEGL",,"Blue Island","21314",1163477.8845,1818715.74625
"University of Chicago Medical Center","Hospital","Hospital","5841 S Maryland Ave",2662357,,"BCEG",,"Chicago","21531",1183240.9895,1866411.65375
