Category: All categories

Month,dead birds: (Chicago IL)
2004-01,0
2004-02,0
2004-03,5
2004-04,0
2004-05,0
2004-06,0
2004-07,4
2004-08,3
2004-09,0
2004-10,0
2004-11,0
2004-12,3
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,2
2005-06,5
2005-07,2
2005-08,0
2005-09,2
2005-10,0
2005-11,2
2005-12,0
2006-01,0
2006-02,0
2006-03,2
2006-04,5
2006-05,0
2006-06,3
2006-07,0
2006-08,1
2006-09,1
2006-10,1
2006-11,0
2006-12,0
2007-01,7
2007-02,0
2007-03,0
2007-04,1
2007-05,2
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,0
2007-11,0
2007-12,0
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,2
2008-07,1
2008-08,2
2008-09,2
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,3
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,2
2010-10,1
2010-11,1
2010-12,0
2011-01,100
2011-02,7
2011-03,3
2011-04,2
2011-05,2
2011-06,1
2011-07,1
2011-08,2
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,2
2012-02,1
2012-03,1
2012-04,1
2012-05,2
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,<1
2012-12,1
2013-01,<1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,<1
2013-12,1
2014-01,1
2014-02,1
2014-03,<1
2014-04,1
2014-05,1
2014-06,1
2014-07,<1
2014-08,1
2014-09,<1
2014-10,1
2014-11,1
2014-12,<1
2015-01,<1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,<1
2015-07,1
2015-08,2
2015-09,1
2015-10,<1
2015-11,<1
2015-12,<1
2016-01,1
2016-02,<1
2016-03,<1
2016-04,<1
2016-05,1
2016-06,1
2016-07,<1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,<1
2017-01,<1
2017-02,<1
2017-03,<1
2017-04,<1
2017-05,1
2017-06,1
2017-07,<1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,<1
2018-01,<1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,<1
2019-01,1
