Category: All categories

Month,symptoms of west nile virus: (Chicago IL)
2004-01,0
2004-02,36
2004-03,0
2004-04,0
2004-05,0
2004-06,96
2004-07,32
2004-08,30
2004-09,57
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,20
2005-08,48
2005-09,54
2005-10,17
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,13
2006-06,14
2006-07,13
2006-08,36
2006-09,37
2006-10,11
2006-11,0
2006-12,0
2007-01,10
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,9
2007-08,61
2007-09,37
2007-10,20
2007-11,8
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,25
2008-07,8
2008-08,8
2008-09,15
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,15
2009-07,7
2009-08,7
2009-09,11
2009-10,0
2009-11,0
2009-12,0
2010-01,6
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,17
2010-07,13
2010-08,25
2010-09,19
2010-10,0
2010-11,0
2010-12,6
2011-01,3
2011-02,6
2011-03,0
2011-04,3
2011-05,7
2011-06,16
2011-07,18
2011-08,25
2011-09,6
2011-10,2
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,2
2012-04,0
2012-05,6
2012-06,6
2012-07,15
2012-08,100
2012-09,85
2012-10,22
2012-11,8
2012-12,2
2013-01,2
2013-02,0
2013-03,2
2013-04,0
2013-05,5
2013-06,8
2013-07,24
2013-08,6
2013-09,10
2013-10,2
2013-11,2
2013-12,2
2014-01,0
2014-02,0
2014-03,2
2014-04,0
2014-05,2
2014-06,18
2014-07,33
2014-08,23
2014-09,22
2014-10,5
2014-11,2
2014-12,0
2015-01,5
2015-02,0
2015-03,2
2015-04,0
2015-05,2
2015-06,10
2015-07,18
2015-08,14
2015-09,9
2015-10,3
2015-11,2
2015-12,0
2016-01,0
2016-02,2
2016-03,0
2016-04,3
2016-05,1
2016-06,3
2016-07,5
2016-08,5
2016-09,6
2016-10,1
2016-11,1
2016-12,1
2017-01,0
2017-02,0
2017-03,1
2017-04,0
2017-05,2
2017-06,2
2017-07,16
2017-08,9
2017-09,3
2017-10,2
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,2
2018-05,4
2018-06,8
2018-07,11
2018-08,10
2018-09,7
2018-10,5
2018-11,0
2018-12,2
2019-01,0
