"mergeid","cftype","gniscode","cfname","cfsubtype","comment","source","jurisdicti","community","address","POINT_X","POINT_Y"
"10000","School",419204,"Strassburg Elementary School","Public School",,"ACGIL","SCHOOL DIST #168","Sauk Village","2002 E 223rd St",-87.5663372666,41.4834061717
"10002","School",2035677,"Saint Mark's Lutheran School","Non Public School",,"ACG","ST MARK EV LUTH CH","Sauk Village","22012 Torrence Ave",-87.5568611358,41.4887099616
"10006","School",0,"School District #168 Administration","Public School",,"AGIL","SCHOOL DIST #168","Sauk Village","21899 Torrence Ave",-87.5571464065,41.4929075794
"10008","School",411327,"Katz Corner School","Non Public School",,"CG",,"Bloom Twp","22240 Burnham Ave",-87.5398535839,41.4860474189
"10009","School",426949,"Wagoner Elementary","Public School",,"ACGI","SCHOOL DIST #168","Sauk Village","1825 E 215th Pl",-87.5701725094,41.497046101
"10019","School",421308,"Woodrow Wilson Elementary School","Public School",,"ACGIL","SCHOOL DIST #155","Calumet City","560 Wentworth Ave",-87.5312163519,41.6197509014
"10036","School",417417,"Saint Johns Lutheran School","Non Public School",,"ACGIL","ST JOHN EVAN LUTH CH","Lansing","18100 Wentworth Ave",-87.5306844758,41.5660186608
"10047","School",416439,"Reavis Elementary School","Public School",,"ACGL","SCHOOL DIST #158","Lansing","17121 Roy St",-87.5358071673,41.5838164957
"10066","School",0,"Sunnybrook School","Public School",,"AGIL","SCHOOL DIST 171","Lansing","19266 Burnham Ave",-87.5416772084,41.5457608833
"10067","School",423739,"Heritage Middle School","Public School",,"ACG","SCHOOL DIST 171","Lansing","19266 Burnham Ave",-87.5416772084,41.5457608833
"10068","School",414295,"Nathan Hale Elementary School","Public School",,"ACGI","SCHOOL DIST 171","Lansing","19055 Burnham Ave",-87.5365454181,41.549275835
"10077","School",426990,"Luther East High School","Non Public School",,"ACG","LUTHER E.SCH DIST ASSO","Lansing","2750 Glenwood-Lansing Rd",-87.5497474271,41.54317318
"10179","School",409415,"Greenbriar Elementary School","Public School",,"ACGIL","SCHOOL DIST #170","Chicago Heights","101 W Greenbriar Ave",-87.6463339189,41.5254499847
"10182","School",423559,"Rickover Junior High School","Public School",,"ACGI","SCHOOL DIST #168","Sauk Village","22151 Torrence Ave",-87.5555830367,41.4875874488
"10197","School",417498,"Saint Kieran Catholic School","Non Public School",,"ACGIL","CATHOLIC BISHOP CHGO","Chicago Heights","724 W 195th St",-87.633326098,41.5358314501
"10207","School",422297,"Beacon Hill Primary Center","Public School",,"ACGIL","SCHOOL DIST #163","Chicago Heights","401 Concord Dr N",-87.6626311413,41.49818303
"10212","School",426798,"Echo School","Public School",,"ACGIL","ECHO JOINT AGREEMENT","South Holland","350 W 154th St",-87.6258551729,41.6167792078
"10220","School",428377,"Seton Academy","Non Public School",,"ABCGIL","CATHOLIC BISHOP CHGO","South Holland","16160 Seton Dr",-87.5854460761,41.6035604023
"10222","School",423733,"Laren Montessori School","Non Public School",,"ABCGI","LAREN MONTESSORI SCHL","South Holland","425 E 164th St",-87.6064423029,41.5969503246
"10233","School",407994,"Maya Angelou Elementary School","Public School",,"ACGIL","SCHOOL DIST #152","Harvey","15700 Page Ave",-87.660172911,41.6035500447
"10235","School",412181,"Lincoln School","Public School",,"ACG","SCHOOL DIST #152 1/2","East Hazel Crest","1223 W 173rd St",-87.6475481464,41.5749559587
"10245","School",405076,"Bryant Elementary School","Public School",,"CGL","SCHOOL DIST #152","Harvey","14735 Broadway Ave",-87.643812078,41.6217136778
"10252","School",0,"Outreach Exceptional Learning Academy","Non Public School",,"AG","OUTREACH COGIC","Harvey","15251 Dixie Hwy",-87.6710770649,41.6125448857
