"PROGRAM","SITE.NAME","HOURS.OF.OPERATION","ADDRESS","CITY","STATE","ZIP","PHONE","LOCATION","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","LATITUDE","LONGITUDE","community"
"Regional Senior Center","Northeast","Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.","2019 W. Lawrence Avenue","Chicago","IL",60625,"312-744-0784","2019 W Lawrence Avenue
Chicago, IL 60625
(41.96872254686461, -87.68019238203728)","60625","17","031","040600","1","170310406001","+41.9670999","-087.6806413","LINCOLN SQUARE"
"Regional Senior Center","Southwest","Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.","6117 S. Kedzie Avenue","Chicago","IL",60629,"312-747-0440","6117 S Kedzie Avenue
Chicago, IL 60629
(41.78212991978889, -87.70319764951621)","60629","17","031","660302","2","170316603022","+41.7835374","-087.7020495","CHICAGO LAWN"
"Regional Senior Center","Northwest","Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m","3160 N. Milwaukee Avenue","Chicago","IL",60618,"312-744-6681","3160 N Milwaukee Avenue
Chicago, IL 60618
(41.938368983472756, -87.72268832479132)","60618","17","031","210501","2","170312105012","+41.9373587","-087.7240049","AVONDALE"
"Regional Senior Center","Central West","Mon - Fri 8:30 a.m. to 4:30 p.m. ","2102 W. Ogden Avenue","Chicago","IL",60612,"312-746-5300","2102 W Ogden Avenue
Chicago, IL 60612
(41.87104299405995, -87.67859824824583)","60612","17","031","838200","1","170318382001","+41.8715694","-087.6794415","NEAR WEST SIDE"
"Regional Senior Center","Southeast","Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m","1767 E. 79th Street","Chicago","IL",60649,"312-747-0189","1767 E 79th Street
Chicago, IL 60649
(41.751512943458266, -87.5819826459126)","60649","17","031","460500","7","170314605007","+41.7506617","-087.5778623","SOUTH CHICAGO"
"Regional Senior Center","Renaissance Court","Mon - Fri 8:30 a.m. to 4:30 p.m. ","78 E. Washington Street","Chicago","IL",60602,"312-744-4550","78 E Washington Street
Chicago, IL 60602
(41.883854158623144, -87.62495524186401)","60601","17","031","320100","1","170313201001","+41.8829215","-087.6206068","LOOP"
"Satellite Senior Center","Abbott Park","Mon - Fri 8:30 a.m. to 4:30 p.m. ","49 East 95th Street","Chicago","IL",60619,"312-745-3493","49 East 95th Street
Chicago, IL 60619
(41.721658859945016, -87.62236238854524)","60619","17","031","490500","2","170314905002","+41.7180892","-087.6194836","ROSELAND"
"Satellite Senior Center","Edgewater","Mon - Fri 8:30 a.m. to 4:30 p.m. ","5917 N. Broadway Street","Chicago","IL",60660,"312-744-4016","5917 N Broadway Street
Chicago, IL 60660
(41.98948336912841, -87.66014332799551)","60660","17","031","030601","2","170310306012","+41.9886687","-087.6588466","EDGEWATER"
"Satellite Senior Center","Englewood","Mon - Fri 8:30 a.m. to 4:30 p.m. ","653-657 W. 63rd Street","Chicago","IL",60621,"312-745-3328","653 657 W 63rd Street
Chicago, IL 60621
(41.77992531402681, -87.63308324283993)","60621","17","031","680900","4","170316809004","+41.7785368","-087.6413586","ENGLEWOOD"
"Satellite Senior Center","West Town","Mon - Fri 8:30 a.m. to 4:30 p.m. ","1613 W. Chicago Avenue","Chicago","IL",60622,"312-743-1016","1613 W Chicago Avenue
Chicago, IL 60622
(41.895752189070784, -87.6682665907951)","60622","17","031","243200","1","170312432001","+41.8946674","-087.6696899","WEST TOWN"
