Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,City,State,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due
11BS01063A,11DR279704,1/24/2011,BLDINGS,8/11/2011 10:30,2955 N AVERS ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"CITIBANK, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,,,
11BS02904A,11DR286648,3/31/2011,BLDINGS,5/12/2011 12:00,6738 S KOLIN ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"FEDERAL NATIONAL MORTGAGE ASSN NATIONAL PROPERTY DISPOSITION CENTER, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,,,
11BS04331A,11N0295731,5/28/2011,BLDINGS,7/12/2011 12:00,3563 W MC LEAN ,Chicago,IL,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).","US BANK, NA C/O JEANNE ESCOBEDO, TRUST LEGAL DEPARTMENT, ",Not liable - City failed to establish prima facie case,2000,0,0,0,,0,0,2053.17
11BS04331A,11N0295731,5/28/2011,BLDINGS,7/12/2011 12:00,3563 W MC LEAN ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"US BANK, NA C/O JEANNE ESCOBEDO, TRUST LEGAL DEPARTMENT, ",Not liable - City failed to establish prima facie case,2000,0,0,0,,0,0,2053.17
11BS04362A,11WO295906,6/1/2011,BLDINGS,9/8/2011 9:00,3330 W 58TH ,Chicago,IL,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).","DEUTSCHE BK NAT'L TR CO TRUSTEE OF ARGENT MTG SECURITIES INC ASSET-BACKED PASS THRU CERT SERIES 2006-W4, ",City non-suit,1000,0,0,0,,0,0,1083.22
11BS04362A,11WO295906,6/1/2011,BLDINGS,9/8/2011 9:00,3330 W 58TH ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"DEUTSCHE BK NAT'L TR CO TRUSTEE OF ARGENT MTG SECURITIES INC ASSET-BACKED PASS THRU CERT SERIES 2006-W4, ",City non-suit,1000,0,0,0,,0,0,1083.22
11BS04362A,11WO295906,6/1/2011,BLDINGS,9/8/2011 9:00,5758 S CHRISTIANA ,Chicago,IL,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).","DEUTSCHE BK NAT'L TR CO TRUSTEE OF ARGENT MTG SECURITIES INC ASSET-BACKED PASS THRU CERT SERIES 2006-W4, ",City non-suit,1000,0,0,0,,0,0,1083.22
11BS04362A,11WO295906,6/1/2011,BLDINGS,9/8/2011 9:00,5758 S CHRISTIANA ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"DEUTSCHE BK NAT'L TR CO TRUSTEE OF ARGENT MTG SECURITIES INC ASSET-BACKED PASS THRU CERT SERIES 2006-W4, ",City non-suit,1000,0,0,0,,0,0,1083.22
11BS04511A,11DR293344,6/9/2011,BLDINGS,7/21/2011 9:00,444 E 89TH ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"DEUTSCHE BANK NAT'L TRUST CO TRUSTEE FOR HSI ASSET SECURITIZATION CORP, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,,,
11BS04514A,11DR296244,6/9/2011,BLDINGS,9/15/2011 9:00,12928 S ESCANABA ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"GREEN TREE SERVICING, LLC C/O C T CORPORATION SYSTEM, ",City non-suit,0,0,0,0,0,,,
11BS07178A,11DR300782,10/14/2011,BLDINGS,11/17/2011 9:00,4115 W 56TH ,Chicago,IL,193101 Duty to Register Vacant Building ( 13-12-125 (a) ),"THE BANK OF NEW YORK MELLON FKA THE OF NEW YORK, ",Not liable - Respondent came into compliance with building code prior to hearing,0,0,0,0,0,,,
11BT00978A,11DR292569,7/22/2011,BLDINGS,12/6/2011 1:30,5114 S AUSTIN ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"BAC HOME LOANS SERVICING, LP C/O C T CORPORATION SYSTEM, ",City non-suit,0,0,0,0,0,,,
11BT00978A,11DR292569,7/22/2011,BLDINGS,12/6/2011 1:30,5114 S AUSTIN ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"BAC HOME LOANS SERVICING, LP C/O PATRICIA M HOLDEN, ",City non-suit,0,0,0,0,0,,,
11BT01025A,11NO303480,8/10/2011,BLDINGS,9/20/2011 1:30,2247 N LAVERGNE ,Chicago,IL,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).","BANK OF AMERICA, NA C/O PATRICIA M HOLDEN, ",Default - Liable by prove-up,8500,0,0,0,,2408.28,42,16536.83
11BT01025A,11NO303480,8/10/2011,BLDINGS,9/20/2011 1:30,2247 N LAVERGNE ,Chicago,IL,"193105 Register and secure vacant building. (13-12-125 (a)(1), 13-12-125 (b)(1) ).","DEUTSCHE BANK NATIONAL TRUST CO., ",Default - Liable by prove-up,8500,0,0,0,,2408.28,42,16536.83
11BT01025A,11NO303480,8/10/2011,BLDINGS,9/20/2011 1:30,2247 N LAVERGNE ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"BANK OF AMERICA, NA C/O PATRICIA M HOLDEN, ",Default - Liable by prove-up,8500,0,0,0,,2408.28,42,16536.83
11BT01025A,11NO303480,8/10/2011,BLDINGS,9/20/2011 1:30,2247 N LAVERGNE ,Chicago,IL,193110 Insure and secure vacant building. (13-12-125 (a).,"DEUTSCHE BANK NATIONAL TRUST CO., ",Default - Liable by prove-up,8500,0,0,0,,2408.28,42,16536.83
