Property.Address,nrows,min.issued.date,max.issued.date,city,state,zip
1  UNKNOWN ,6,12/14/2011,12/14/2011,Chicago,IL,
100  UNKNOWN ,90,10/20/2011,9/14/2017,Chicago,IL,
100 N LAWLER ,4,7/13/2011,7/13/2011,Chicago,IL,
100 S ABERDEEN ,6,3/8/2013,3/8/2013,Chicago,IL,
100 S BELL ,6,11/25/2014,11/25/2014,Chicago,IL,
100 S BISHOP ,4,5/15/2013,5/15/2013,Chicago,IL,
100 S HONORE ,6,10/4/2013,10/4/2013,Chicago,IL,
100 S JUSTINE ,6,7/4/2014,7/4/2014,Chicago,IL,
100 S RACINE ,6,1/18/2012,1/18/2012,Chicago,IL,
100 S WHIPPLE ,6,4/14/2016,4/14/2016,Chicago,IL,
100 W 44 PL ,6,7/9/2012,7/9/2012,Chicago,IL,
100 W 91ST ,3,1/15/2016,1/15/2016,Chicago,IL,
1000 S TALMAN ,6,11/10/2013,11/10/2013,Chicago,IL,
1000 W NORTH ,1,1/4/2015,1/4/2015,Chicago,IL,
1001 N LAUNDALE ,4,11/15/2017,11/15/2017,Chicago,IL,
1001 N LAWNDALE ,8,9/7/2016,11/15/2017,Chicago,IL,
1002 S MORGAN ,6,9/16/2014,9/16/2014,Chicago,IL,
10021 S NORMAL ,4,9/2/2014,9/2/2014,Chicago,IL,
10024 S NORMAL ,4,9/2/2014,9/2/2014,Chicago,IL,
10036 S PRINCETON ,1,8/5/2015,8/5/2015,Chicago,IL,
10045 S MAY ,6,7/14/2015,7/14/2015,Chicago,IL,
10058 S OGLESBY ,12,11/16/2016,11/16/2016,Chicago,IL,
10106 S AVE M ,12,1/19/2017,1/19/2017,Chicago,IL,
10125 S SANGAMON ,2,9/10/2014,9/10/2014,Chicago,IL,
102 S CALIFORNIA ,4,4/17/2013,4/17/2013,Chicago,IL,
1022 N KEYSTONE ,6,2/24/2014,5/18/2015,Chicago,IL,
1022 N LAWLER ,8,7/13/2011,9/28/2011,Chicago,IL,
10223 S BENSLEY ,6,4/16/2014,4/16/2014,Chicago,IL,
10223 S BENSLEYA ,6,4/16/2014,4/16/2014,Chicago,IL,
10240 S STATE ,2,3/9/2016,3/9/2016,Chicago,IL,
1026 N RIDEGWAY ,2,9/22/2014,9/22/2014,Chicago,IL,
1026 N RIDGEWAY ,12,9/22/2014,1/11/2016,Chicago,IL,
1027 S AVE H ,6,1/2/2015,1/2/2015,Chicago,IL,
1028 S EGGLESTON ,6,10/7/2013,10/7/2013,Chicago,IL,
1029 N AVERS ,2,4/15/2013,4/15/2013,Chicago,IL,
10325 S CALUMET ,2,1/2/2016,1/2/2016,Chicago,IL,
1035 N LECLAIRE ,4,11/1/2011,11/1/2011,Chicago,IL,
10357 S EDBROOKE ,8,1/8/2015,1/8/2015,Chicago,IL,
1036 N MONTICELLO ,4,8/25/2014,2/2/2015,Chicago,IL,
1038 N LAWNDALE ,2,6/15/2015,6/15/2015,Chicago,IL,
1040 N MONTICELLO ,2,8/2/2017,8/2/2017,Chicago,IL,
1042 N AVERS ,2,5/4/2017,5/4/2017,Chicago,IL,
1044 N LOCKWOOD ,4,4/17/2013,7/8/2013,Chicago,IL,
1048 N LAWNDALE ,4,11/16/2011,11/16/2011,Chicago,IL,
1049 N MONTICELLO ,4,1/8/2015,1/8/2015,Chicago,IL,
1050 N SPRINGFIELD ,8,6/13/2011,11/8/2011,Chicago,IL,
10510 S WENTWORTH ,4,6/25/2015,6/25/2015,Chicago,IL,
10515 S LASALLE ,2,5/15/2015,5/15/2015,Chicago,IL,
10515 S PERRY ,2,6/18/2015,6/18/2015,Chicago,IL,
10519 S AVE L ,12,3/5/2016,3/5/2016,Chicago,IL,
1052 N LAWNDALE ,2,10/20/2014,10/20/2014,Chicago,IL,
1053 N AUSTIN BLVD ,6,5/4/2011,5/4/2011,Chicago,IL,
1053 N LARAMIE ,4,9/29/2011,9/29/2011,Chicago,IL,
1054 W 63RD ,18,1/7/2015,3/8/2015,Chicago,IL,
10545 S LA SALLE ,6,1/18/2012,1/18/2012,Chicago,IL,
10545 S LASALLE ,4,10/5/2011,10/5/2011,Chicago,IL,
10554 S LASALLE ,4,10/5/2011,10/5/2011,Chicago,IL,
10607 S COTTAGE GROVE ,2,5/3/2011,5/3/2011,Chicago,IL,
10612 S DREW ,3,9/7/2016,9/7/2016,Chicago,IL,
10614 S LAFAYETTE ,2,7/1/2015,7/1/2015,Chicago,IL,
10642 S EBERHART ,4,1/27/2015,1/27/2015,Chicago,IL,
