"Property.Address","nrows","min.issued.date","max.issued.date","city","state","zip","addr.nbr","addr.street.and.dir","addr.dir","addr.street","addr.end","st.name.pot","address.one.line","google.call","seqn","json","status","result.cnt","place.id","formatted.address","lat","lng","route","locality","administrative_area_level_2","administrative_area_level_1","country","row.name","street_number","neighborhood","postal_code","postal_code_suffix","administrative_area_level_3","intersection","bus_station"
"1  UNKNOWN ",6,2011-12-14,2011-12-14,"Chicago","IL",NA,1,"UNKNOWN",NA,"UNKNOWN","UNKNOWN",NA,"1+NA+UNKNOWN+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=1+NA+UNKNOWN+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""Illinois 1"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States""), short_name = c(""IL-1"", ""Chicago"", ""Cook County"", ""IL"", ""US""), types = list(""route"", c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political"")))), formatted_address = ""IL-1, Chicago, IL, USA"", geometry = list(bounds = list(northeast = list(lat = 41.7215435, lng = -87.6409348), southwest = list(
    lat = 41.643972, lng = -87.6433059)), location = list(lat = 41.7215167, lng = -87.6431434), location_type = ""GEOMETRIC_CENTER"", viewport = list(northeast = list(lat = 41.909802, lng = -87.4548581), southwest = list(lat = 41.5332314, lng = -87.8314287))), partial_match = TRUE, place_id = ""EhZJTC0xLCBDaGljYWdvLCBJTCwgVVNBIkgqRgoUChIJZ3CobVXocogR1b6k7NoEepgSFAoSCe3L9NA8LA6IEQDAwAmtpuCvGhgKCg2oXdIYFV2xwssSCg3LM94YFfwNw8s"", types = list(""route""))","OK",1,"EhZJTC0xLCBDaGljYWdvLCBJTCwgVVNBIkgqRgoUChIJZ3CobVXocogR1b6k7NoEepgSFAoSCe3L9NA8LA6IEQDAwAmtpuCvGhgKCg2oXdIYFV2xwssSCg3LM94YFfwNw8s","IL-1, Chicago, IL, USA",41.7215167,-87.6431434,"IL-1","Chicago","Cook County","IL","US","short_name",NA,NA,NA,NA,NA,NA,NA
"100  UNKNOWN ",90,2011-10-20,2017-09-14,"Chicago","IL",NA,100,"UNKNOWN",NA,"UNKNOWN","UNKNOWN",NA,"100+NA+UNKNOWN+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+NA+UNKNOWN+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""Chicago"", ""Cook County"", ""Illinois"", ""United States""), short_name = c(""Chicago"", ""Cook County"", ""IL"", ""US""), types = list(c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political"")))), formatted_address = ""Chicago, IL, USA"", geometry = list(bounds = list(northeast = list(lat = 42.023131, lng = -87.523661), southwest = list(lat = 41.6443349, lng = -87.9402669)), 
    location = list(lat = 41.8781136, lng = -87.6297982), location_type = ""APPROXIMATE"", viewport = list(northeast = list(lat = 42.023131, lng = -87.523661), southwest = list(lat = 41.6443349, lng = -87.9402669))), partial_match = TRUE, place_id = ""ChIJ7cv00DwsDogRAMDACa2m4K8"", types = list(c(""locality"", ""political"")))","OK",1,"ChIJ7cv00DwsDogRAMDACa2m4K8","Chicago, IL, USA",41.8781136,-87.6297982,NA,"Chicago","Cook County","IL","US","short_name",NA,NA,NA,NA,NA,NA,NA
"100 N LAWLER ",4,2011-07-13,2011-07-13,"Chicago","IL",NA,100,"N LAWLER","N","LAWLER","LAWLER",NA,"100+N+LAWLER+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+N+LAWLER+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""North Lawler Avenue"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States""), short_name = c(""N Lawler Ave"", ""Chicago"", ""Cook County"", ""IL"", ""US""), types = list(""route"", c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political"")))), formatted_address = ""N Lawler Ave, Chicago, IL, USA"", geometry = list(bounds = list(northeast = list(lat = 41.9225618, lng = -87.7504989), 
    southwest = list(lat = 41.8877673, lng = -87.7541904)), location = list(lat = 41.9059111, lng = -87.7521778), location_type = ""GEOMETRIC_CENTER"", viewport = list(northeast = list(lat = 41.9225618, lng = -87.7504989), southwest = list(lat = 41.8877673, lng = -87.7541904))), place_id = ""ChIJZYwfKsnMD4gRLLi3K-IHr7w"", types = list(""route""))","OK",1,"ChIJZYwfKsnMD4gRLLi3K-IHr7w","N Lawler Ave, Chicago, IL, USA",41.9059111,-87.7521778,"N Lawler Ave","Chicago","Cook County","IL","US","short_name",NA,NA,NA,NA,NA,NA,NA
"100 S ABERDEEN ",6,2013-03-08,2013-03-08,"Chicago","IL",NA,100,"S ABERDEEN","S","ABERDEEN","ABERDEEN",NA,"100+S+ABERDEEN+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+ABERDEEN+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""100"", ""South Aberdeen Street"", ""West Loop"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60607"", ""2504""), short_name = c(""100"", ""S Aberdeen St"", ""West Loop"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60607"", ""2504""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""100 S Aberdeen St, Chicago, IL 60607, USA"", geometry = list(location = list(lat = 41.8803443, lng = -87.6546496), location_type = ""RANGE_INTERPOLATED"", viewport = list(northeast = list(lat = 41.8816932802915, lng = -87.6533006197085), southwest = list(lat = 41.8789953197085, lng = -87.6559985802915))), place_id = ""EikxMDAgUyBBYmVyZGVlbiBTdCwgQ2hpY2FnbywgSUwgNjA2MDcsIFVTQSIaEhgKFAoSCeUkv8HeLA6IEdW7ejj-iRIrEGQ"", types = list(""street_address""))","OK",1,"EikxMDAgUyBBYmVyZGVlbiBTdCwgQ2hpY2FnbywgSUwgNjA2MDcsIFVTQSIaEhgKFAoSCeUkv8HeLA6IEdW7ejj-iRIrEGQ","100 S Aberdeen St, Chicago, IL 60607, USA",41.8803443,-87.6546496,"S Aberdeen St","Chicago","Cook County","IL","US","short_name","100","West Loop","60607","2504",NA,NA,NA
"100 S BELL ",6,2014-11-25,2014-11-25,"Chicago","IL",NA,100,"S BELL","S","BELL","BELL",NA,"100+S+BELL+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+BELL+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""100"", ""South Bell Avenue"", ""Near West Side"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60612""), short_name = c(""100"", ""S Bell Ave"", ""Near West Side"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60612""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code""))), 
    formatted_address = ""100 S Bell Ave, Chicago, IL 60612, USA"", geometry = list(location = list(lat = 41.8797883, lng = -87.6829387), location_type = ""RANGE_INTERPOLATED"", viewport = list(northeast = list(lat = 41.8811372802915, lng = -87.6815897197085), southwest = list(lat = 41.8784393197085, lng = -87.6842876802915))), place_id = ""EiYxMDAgUyBCZWxsIEF2ZSwgQ2hpY2FnbywgSUwgNjA2MTIsIFVTQSIaEhgKFAoSCXHtDdhDLQ6IEUIWK3XdpXkHEGQ"", types = list(""street_address""))","OK",1,"EiYxMDAgUyBCZWxsIEF2ZSwgQ2hpY2FnbywgSUwgNjA2MTIsIFVTQSIaEhgKFAoSCXHtDdhDLQ6IEUIWK3XdpXkHEGQ","100 S Bell Ave, Chicago, IL 60612, USA",41.8797883,-87.6829387,"S Bell Ave","Chicago","Cook County","IL","US","short_name","100","Near West Side","60612",NA,NA,NA,NA
"100 S BISHOP ",4,2013-05-15,2013-05-15,"Chicago","IL",NA,100,"S BISHOP","S","BISHOP","BISHOP",NA,"100+S+BISHOP+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+BISHOP+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""South Bishop Street"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States""), short_name = c(""S Bishop St"", ""Chicago"", ""Cook County"", ""IL"", ""US""), types = list(""route"", c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political"")))), formatted_address = ""S Bishop St, Chicago, IL, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8717592, lng = -87.6624285), 
    southwest = list(lat = 41.8559366, lng = -87.6633532)), location = list(lat = 41.8693161, lng = -87.6628626), location_type = ""GEOMETRIC_CENTER"", viewport = list(northeast = list(lat = 41.8717592, lng = -87.6615418697085), southwest = list(lat = 41.8559366, lng = -87.6642398302915))), place_id = ""ChIJYwdVfgMtDogRJd5mBTKq3hY"", types = list(""route""))","OK",1,"ChIJYwdVfgMtDogRJd5mBTKq3hY","S Bishop St, Chicago, IL, USA",41.8693161,-87.6628626,"S Bishop St","Chicago","Cook County","IL","US","short_name",NA,NA,NA,NA,NA,NA,NA
"100 S HONORE ",6,2013-10-04,2013-10-04,"Chicago","IL",NA,100,"S HONORE","S","HONORE","HONORE",NA,"100+S+HONORE+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+HONORE+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""South Honore Street"", ""South Side"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States""), short_name = c(""S Honore St"", ""South Side"", ""Chicago"", ""Cook County"", ""IL"", ""US""), types = list(""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political"")))), formatted_address = ""S Honore St, Chicago, IL, USA"", geometry = list(
    bounds = list(northeast = list(lat = 41.8316175, lng = -87.6679765), southwest = list(lat = 41.7320883, lng = -87.6729074)), location = list(lat = 41.7812029, lng = -87.6703155), location_type = ""GEOMETRIC_CENTER"", viewport = list(northeast = list(lat = 41.8316175, lng = -87.6679765), southwest = list(lat = 41.7320883, lng = -87.6729074))), place_id = ""ChIJTyUD1U0uDogRpt3zdvEwYKQ"", types = list(""route""))","OK",1,"ChIJTyUD1U0uDogRpt3zdvEwYKQ","S Honore St, Chicago, IL, USA",41.7812029,-87.6703155,"S Honore St","Chicago","Cook County","IL","US","short_name",NA,"South Side",NA,NA,NA,NA,NA
"100 S JUSTINE ",6,2014-07-04,2014-07-04,"Chicago","IL",NA,100,"S JUSTINE","S","JUSTINE","JUSTINE",NA,"100+S+JUSTINE+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+JUSTINE+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""South Justine Street"", ""South Side"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States""), short_name = c(""S Justine St"", ""South Side"", ""Chicago"", ""Cook County"", ""IL"", ""US""), types = list(""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political"")))), formatted_address = ""S Justine St, Chicago, IL, USA"", geometry = list(
    bounds = list(northeast = list(lat = 41.8128137, lng = -87.658113), southwest = list(lat = 41.7207412, lng = -87.6679765)), location = list(lat = 41.766752, lng = -87.6626637), location_type = ""GEOMETRIC_CENTER"", viewport = list(northeast = list(lat = 41.8128137, lng = -87.658113), southwest = list(lat = 41.7207412, lng = -87.6679765))), place_id = ""ChIJtf1GAqYvDogR1fBedGEcdKM"", types = list(""route""))","OK",1,"ChIJtf1GAqYvDogR1fBedGEcdKM","S Justine St, Chicago, IL, USA",41.766752,-87.6626637,"S Justine St","Chicago","Cook County","IL","US","short_name",NA,"South Side",NA,NA,NA,NA,NA
"100 S RACINE ",6,2012-01-18,2012-01-18,"Chicago","IL",NA,100,"S RACINE","S","RACINE","RACINE",NA,"100+S+RACINE+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+RACINE+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""100"", ""South Racine Avenue"", ""West Loop"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60607"", ""2516""), short_name = c(""100"", ""S Racine Ave"", ""West Loop"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60607"", ""2516""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""100 S Racine Ave, Chicago, IL 60607, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8802282, lng = -87.6572079), southwest = list(lat = 41.8800322, lng = -87.657743)), location = list(lat = 41.8801342, lng = -87.6574554), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8814791802915, lng = -87.6561264697085), southwest = list(lat = 41.8787812197085, lng = -87.6588244302915))), place_id = ""ChIJG-TNRN8sDogRENetyyHehIk"", 
    types = list(""premise""))","OK",1,"ChIJG-TNRN8sDogRENetyyHehIk","100 S Racine Ave, Chicago, IL 60607, USA",41.8801342,-87.6574554,"S Racine Ave","Chicago","Cook County","IL","US","short_name","100","West Loop","60607","2516",NA,NA,NA
"100 S WHIPPLE ",6,2016-04-14,2016-04-14,"Chicago","IL",NA,100,"S WHIPPLE","S","WHIPPLE","WHIPPLE",NA,"100+S+WHIPPLE+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=100+S+WHIPPLE+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""100"", ""South Whipple Street"", ""East Garfield Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60612""), short_name = c(""100"", ""S Whipple St"", ""East Garfield Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60612""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code""))), 
    formatted_address = ""100 S Whipple St, Chicago, IL 60612, USA"", geometry = list(location = list(lat = 41.8792868, lng = -87.7025877), location_type = ""RANGE_INTERPOLATED"", viewport = list(northeast = list(lat = 41.8806357802915, lng = -87.7012387197085), southwest = list(lat = 41.8779378197085, lng = -87.7039366802915))), place_id = ""EigxMDAgUyBXaGlwcGxlIFN0LCBDaGljYWdvLCBJTCA2MDYxMiwgVVNBIhoSGAoUChIJ2QBuiqEyDogRnIjddiYgf2QQZA"", types = list(""street_address""))","OK",1,"EigxMDAgUyBXaGlwcGxlIFN0LCBDaGljYWdvLCBJTCA2MDYxMiwgVVNBIhoSGAoUChIJ2QBuiqEyDogRnIjddiYgf2QQZA","100 S Whipple St, Chicago, IL 60612, USA",41.8792868,-87.7025877,"S Whipple St","Chicago","Cook County","IL","US","short_name","100","East Garfield Park","60612",NA,NA,NA,NA
